DATE,DAUTONSA
1988-02-01,649.1
1988-03-01,733.7
1988-04-01,651.6
1988-05-01,702.0
1988-06-01,722.4
1988-07-01,605.3
1988-08-01,603.0
1988-09-01,578.8
1988-10-01,591.7
1988-11-01,553.8
1988-12-01,616.8
1989-01-01,512.1
1989-02-01,553.6
1989-03-01,641.7
1989-04-01,667.4
1989-05-01,710.5
1989-06-01,640.7
1989-07-01,603.4
1989-08-01,685.4
1989-09-01,609.7
1989-10-01,524.2
1989-11-01,473.6
1989-12-01,455.8
1990-01-01,546.8
1990-02-01,533.6
1990-03-01,625.8
1990-04-01,598.8
1990-05-01,644.3
1990-06-01,635.1
1990-07-01,595.8
1990-08-01,571.5
1990-09-01,584.8
1990-10-01,598.1
1990-11-01,485.8
1990-12-01,476.5
1991-01-01,421.1
1991-02-01,479.0
1991-03-01,545.0
1991-04-01,510.1
1991-05-01,581.1
1991-06-01,592.7
1991-07-01,585.3
1991-08-01,503.1
1991-09-01,498.2
1991-10-01,526.2
1991-11-01,457.6
1991-12-01,437.5
1992-01-01,417.3
1992-02-01,497.1
1992-03-01,541.0
1992-04-01,545.7
1992-05-01,565.1
1992-06-01,635.3
1992-07-01,573.1
1992-08-01,483.0
1992-09-01,515.6
1992-10-01,537.1
1992-11-01,464.7
1992-12-01,501.6
1993-01-01,435.8
1993-02-01,466.2
1993-03-01,581.5
1993-04-01,607.1
1993-05-01,639.5
1993-06-01,671.3
1993-07-01,598.9
1993-08-01,537.3
1993-09-01,554.1
1993-10-01,581.5
1993-11-01,538.4
1993-12-01,522.4
1994-01-01,488.5
1994-02-01,573.3
1994-03-01,700.5
1994-04-01,637.5
1994-05-01,661.4
1994-06-01,702.6
1994-07-01,562.9
1994-08-01,603.8
1994-09-01,599.9
1994-10-01,605.4
1994-11-01,553.4
1994-12-01,566.0
1995-01-01,471.7
1995-02-01,531.5
1995-03-01,654.2
1995-04-01,561.8
1995-05-01,673.5
1995-06-01,701.7
1995-07-01,593.2
1995-08-01,658.2
1995-09-01,591.1
1995-10-01,590.3
1995-11-01,540.9
1995-12-01,546.0
1996-01-01,476.5
1996-02-01,593.1
1996-03-01,670.9
1996-04-01,653.3
1996-05-01,749.5
1996-06-01,673.5
1996-07-01,619.3
1996-08-01,615.9
1996-09-01,588.0
1996-10-01,571.1
1996-11-01,491.9
1996-12-01,503.3
1997-01-01,509.9
1997-02-01,547.1
1997-03-01,638.3
1997-04-01,589.4
1997-05-01,649.9
1997-06-01,621.5
1997-07-01,612.0
1997-08-01,599.9
1997-09-01,548.8
1997-10-01,550.9
1997-11-01,463.3
1997-12-01,531.3
1998-01-01,429.0
1998-02-01,507.2
1998-03-01,599.8
1998-04-01,593.7
1998-05-01,665.6
1998-06-01,689.3
1998-07-01,505.0
1998-08-01,534.0
1998-09-01,579.0
1998-10-01,593.5
1998-11-01,457.9
1998-12-01,551.1
1999-01-01,440.0
1999-02-01,551.3
1999-03-01,640.0
1999-04-01,598.0
1999-05-01,667.5
1999-06-01,672.5
1999-07-01,603.4
1999-08-01,632.7
1999-09-01,568.2
1999-10-01,527.2
1999-11-01,491.9
1999-12-01,526.1
2000-01-01,477.7
2000-02-01,603.8
2000-03-01,648.8
2000-04-01,601.1
2000-05-01,647.3
2000-06-01,650.1
2000-07-01,561.2
2000-08-01,606.0
2000-09-01,570.2
2000-10-01,506.3
2000-11-01,449.7
2000-12-01,439.4
2001-01-01,444.0
2001-02-01,544.8
2001-03-01,597.1
2001-04-01,514.5
2001-05-01,617.6
2001-06-01,614.1
2001-07-01,485.8
2001-08-01,519.1
2001-09-01,476.2
2001-10-01,620.6
2001-11-01,431.1
2001-12-01,389.5
2002-01-01,360.4
2002-02-01,451.4
2002-03-01,534.7
2002-04-01,526.3
2002-05-01,554.3
2002-06-01,560.4
2002-07-01,534.1
2002-08-01,598.5
2002-09-01,427.3
2002-10-01,436.7
2002-11-01,395.0
2002-12-01,437.4
2003-01-01,381.8
2003-02-01,414.8
2003-03-01,497.2
2003-04-01,471.4
2003-05-01,529.9
2003-06-01,509.6
2003-07-01,488.6
2003-08-01,529.2
2003-09-01,430.2
2003-10-01,413.3
2003-11-01,394.7
2003-12-01,411.9
2004-01-01,356.5
2004-02-01,422.8
2004-03-01,498.5
2004-04-01,451.8
2004-05-01,537.5
2004-06-01,479.1
2004-07-01,491.8
2004-08-01,454.6
2004-09-01,434.5
2004-10-01,397.1
2004-11-01,353.8
2004-12-01,455.6
2005-01-01,350.0
2005-02-01,414.2
2005-03-01,517.2
2005-04-01,509.7
2005-05-01,494.9
2005-06-01,504.5
2005-07-01,508.1
2005-08-01,499.1
2005-09-01,462.2
2005-10-01,395.2
2005-11-01,384.8
2005-12-01,433.7
2006-01-01,419.6
2006-02-01,422.1
2006-03-01,494.2
2006-04-01,501.6
2006-05-01,506.1
2006-06-01,494.6
2006-07-01,481.5
2006-08-01,493.1
2006-09-01,441.9
2006-10-01,374.4
2006-11-01,357.5
2006-12-01,430.1
2007-01-01,345.0
2007-02-01,389.5
2007-03-01,488.3
2007-04-01,425.9
2007-05-01,536.2
2007-06-01,495.5
2007-07-01,415.1
2007-08-01,471.6
2007-09-01,426.9
2007-10-01,383.6
2007-11-01,387.7
2007-12-01,431.8
2008-01-01,346.7
2008-02-01,387.3
2008-03-01,448.1
2008-04-01,422.3
2008-05-01,519.5
2008-06-01,423.2
2008-07-01,388.1
2008-08-01,414.8
2008-09-01,335.6
2008-10-01,286.9
2008-11-01,233.1
2008-12-01,285.4
2009-01-01,200.0
2009-02-01,217.5
2009-03-01,283.1
2009-04-01,279.4
2009-05-01,315.8
2009-06-01,295.9
2009-07-01,354.4
2009-08-01,469.3
2009-09-01,263.2
2009-10-01,281.4
2009-11-01,248.6
2009-12-01,349.8
2010-01-01,240.043
2010-02-01,272.668
2010-03-01,375.165
2010-04-01,343.517
2010-05-01,389.739
2010-06-01,335.316
2010-07-01,336.816
2010-08-01,319.06
2010-09-01,305.593
2010-10-01,279.713
2010-11-01,256.271
2010-12-01,337.598
2011-01-01,258.576
2011-02-01,338.615
2011-03-01,445.315
2011-04-01,405.418
2011-05-01,362.214
2011-06-01,348.95
2011-07-01,329.517
2011-08-01,340.459
2011-09-01,327.466
2011-10-01,321.021
2011-11-01,304.949
2011-12-01,363.464
2012-01-01,323.424
2012-02-01,430.209
2012-03-01,528.054
2012-04-01,431.834
2012-05-01,491.05
2012-06-01,459.854
2012-07-01,393.252
2012-08-01,452.837
2012-09-01,411.972
2012-10-01,369.82
2012-11-01,382.692
2012-12-01,444.846
2013-01-01,383.879
2013-02-01,446.362
2013-03-01,544.516
2013-04-01,466.742
2013-05-01,519.361
2013-06-01,499.66
2013-07-01,446.915
2013-08-01,516.827
2013-09-01,383.073
2013-10-01,398.003
2013-11-01,406.615
2013-12-01,421.205
2014-01-01,344.189
2014-02-01,409.921
2014-03-01,534.342
2014-04-01,470.222
2014-05-01,564.577
2014-06-01,499.801
2014-07-01,479.974
2014-08-01,556.87
2014-09-01,414.495
2014-10-01,430.949
2014-11-01,428.752
2014-12-01,475.786
2015-01-01,386.01
2015-02-01,419.495
2015-03-01,525.027
2015-04-01,477.314
2015-05-01,563.176
2015-06-01,491.397
2015-07-01,481.665
2015-08-01,496.815
2015-09-01,446.569
2015-10-01,447.743
2015-11-01,387.789
2015-12-01,472.123
2016-01-01,361.397
2016-02-01,427.27
2016-03-01,502.115
2016-04-01,447.76
2016-05-01,468.254
2016-06-01,452.263
2016-07-01,437.189
2016-08-01,433.38
2016-09-01,419.56
2016-10-01,377.266
2016-11-01,374.906
2016-12-01,444.215
2017-01-01,307.619
2017-02-01,368.826
2017-03-01,446.58
2017-04-01,411.024
2017-05-01,433.909
2017-06-01,399.619
2017-07-01,376.212
2017-08-01,394.215
2017-09-01,406.634
2017-10-01,345.309
2017-11-01,340.959
2017-12-01,362.059
2018-01-01,280.479
2018-02-01,328.988
2018-03-01,416.105
2018-04-01,326.924
2018-05-01,394.895
2018-06-01,372.417
2018-07-01,321.267
2018-08-01,338.095
2018-09-01,329.564
2018-10-01,329.158
2018-11-01,306.41
2018-12-01,342.587
2019-01-01,277.222
2019-02-01,284.48
2019-03-01,371.85
2019-04-01,295.181
2019-05-01,339.483
2019-06-01,322.074
2019-07-01,277.485
2019-08-01,322.237
2019-09-01,255.018
2019-10-01,254.679
2019-11-01,261.354
2019-12-01,282.86
2020-01-01,224.219
2020-02-01,268.897
2020-03-01,209.142
2020-04-01,125.844
2020-05-01,187.485
2020-06-01,186.558
