"","NRO","SEXO","EDAD","edideal_muj","edideal_hom","DOMINIO","NSEGrup"
"610",610,"Masculino",26,29,30,"Norte","D/E"
"611",611,"Femenino",31,28,28,"Norte","A/B"
"612",612,"Femenino",41,27,27,"Norte","C"
"613",613,"Femenino",47,30,30,"Norte","C"
"614",614,"Femenino",34,27,30,"Norte","A/B"
"615",615,"Masculino",45,20,25,"Norte","A/B"
"616",616,"Masculino",57,99,99,"Norte","D/E"
"617",617,"Femenino",50,99,99,"Norte","D/E"
"618",618,"Masculino",47,20,30,"Norte","C"
"619",619,"Femenino",21,25,26,"Norte","D/E"
"620",620,"Femenino",40,27,30,"Norte","D/E"
"621",621,"Femenino",24,26,26,"Norte","D/E"
"622",622,"Femenino",33,25,25,"Norte","D/E"
"623",623,"Femenino",26,27,29,"Norte","D/E"
"624",624,"Femenino",50,99,99,"Norte","D/E"
"625",625,"Masculino",34,27,27,"Norte","D/E"
"626",626,"Femenino",46,26,28,"Norte","D/E"
"627",627,"Femenino",46,27,30,"Norte","D/E"
"628",628,"Masculino",48,25,30,"Norte","D/E"
"629",629,"Femenino",25,20,25,"Norte","D/E"
"630",630,"Femenino",18,99,99,"Norte","D/E"
"631",631,"Masculino",37,99,99,"Norte","D/E"
"632",632,"Masculino",51,20,20,"Norte","D/E"
"633",633,"Femenino",27,30,35,"Norte","D/E"
"634",634,"Masculino",27,99,99,"Norte","D/E"
"635",635,"Femenino",29,30,30,"Norte","D/E"
"636",636,"Femenino",47,20,25,"Norte","D/E"
"637",637,"Masculino",20,99,99,"Norte","D/E"
"638",638,"Masculino",41,99,99,"Norte","D/E"
"639",639,"Femenino",45,20,25,"Norte","C"
"640",640,"Femenino",21,26,30,"Norte","C"
"641",641,"Masculino",31,30,40,"Norte","D/E"
"642",642,"Femenino",45,29,30,"Norte","D/E"
"643",643,"Masculino",50,25,25,"Norte","D/E"
"644",644,"Masculino",19,30,35,"Sur","C"
"645",645,"Masculino",50,25,26,"Sur","D/E"
"646",646,"Femenino",30,35,35,"Sur","D/E"
"647",647,"Masculino",21,30,30,"Sur","D/E"
"648",648,"Masculino",40,20,20,"Sur","D/E"
"649",649,"Femenino",28,30,99,"Sur","C"
"650",650,"Masculino",61,25,30,"Sur","D/E"
"651",651,"Femenino",23,26,30,"Sur","D/E"
"652",652,"Masculino",44,99,25,"Sur","A/B"
"653",653,"Masculino",33,25,25,"Sur","D/E"
"654",654,"Masculino",20,25,25,"Sur","C"
"655",655,"Masculino",29,30,35,"Sur","D/E"
"656",656,"Masculino",62,30,35,"Sur","D/E"
"657",657,"Masculino",24,28,30,"Sur","A/B"
"658",658,"Masculino",20,25,25,"Sur","C"
"659",659,"Femenino",63,23,30,"Sur","C"
"660",660,"Masculino",44,22,22,"Sur","D/E"
"661",661,"Masculino",22,28,35,"Sur","C"
"662",662,"Masculino",31,30,35,"Sur","C"
"663",663,"Masculino",39,22,25,"Sur","D/E"
"664",664,"Femenino",25,25,30,"Sur","C"
"665",665,"Femenino",42,30,34,"Sur","A/B"
"666",666,"Masculino",18,30,35,"Sur","A/B"
"667",667,"Masculino",45,30,35,"Sur","D/E"
"668",668,"Masculino",23,30,30,"Sur","C"
"669",669,"Femenino",50,30,30,"Sur","A/B"
"670",670,"Femenino",23,26,30,"Sur","C"
"671",671,"Masculino",21,26,28,"Sur","C"
"672",672,"Masculino",33,28,33,"Sur","C"
"673",673,"Masculino",64,25,30,"Sur","A/B"
"674",674,"Femenino",30,32,35,"Sur","D/E"
"675",675,"Masculino",39,25,20,"Sur","D/E"
"676",676,"Femenino",38,30,34,"Sur","D/E"
"677",677,"Masculino",48,30,32,"Sur","C"
"678",678,"Masculino",57,30,33,"Sur","D/E"
"679",679,"Masculino",26,25,30,"Sur","D/E"
"680",680,"Masculino",37,25,25,"Sur","D/E"
"681",681,"Masculino",29,26,26,"Sur","D/E"
"682",682,"Masculino",46,25,30,"Sur","D/E"
"683",683,"Masculino",28,30,30,"Sur","D/E"
"684",684,"Femenino",39,25,28,"Sur","D/E"
"685",685,"Masculino",36,28,28,"Sur","D/E"
