Date,Open,High,Low,Close,Volume
1/2/2014,1845.859985,1845.859985,1827.73999,1831.97998,3080.6
1/3/2014,1833.209961,1838.23999,1829.130005,1831.369995,2774.27
1/6/2014,1832.310059,1837.160034,1823.72998,1826.77002,3294.85
1/7/2014,1828.709961,1840.099976,1828.709961,1837.880005,3511.75
1/8/2014,1837.900024,1840.02002,1831.400024,1837.48999,3652.14
1/9/2014,1839,1843.22998,1830.380005,1838.130005,3581.15
1/10/2014,1840.060059,1843.150024,1832.430054,1842.369995,3335.71
1/13/2014,1841.26001,1843.449951,1815.52002,1819.199951,3591.35
1/14/2014,1821.359985,1839.26001,1821.359985,1838.880005,3353.27
1/15/2014,1840.52002,1850.839966,1840.52002,1848.380005,3777.8
1/16/2014,1847.98999,1847.98999,1840.300049,1845.890015,3491.31
1/17/2014,1844.22998,1846.040039,1835.22998,1838.699951,3626.12
1/21/2014,1841.050049,1849.310059,1832.380005,1843.800049,3782.47
1/22/2014,1844.709961,1846.869995,1840.880005,1844.859985,3374.17
1/23/2014,1842.290039,1842.290039,1820.060059,1828.459961,3972.25
1/24/2014,1826.959961,1826.959961,1790.290039,1790.290039,4618.45
1/27/2014,1791.030029,1795.97998,1772.880005,1781.560059,4045.2
1/28/2014,1783,1793.869995,1779.48999,1792.5,3437.83
1/29/2014,1790.150024,1790.150024,1770.449951,1774.199951,3964.02
1/30/2014,1777.170044,1798.77002,1777.170044,1794.189941,3547.51
1/31/2014,1790.880005,1793.880005,1772.26001,1782.589966,4059.69
2/3/2014,1782.680054,1784.829956,1739.660034,1741.890015,4726.04
2/4/2014,1743.819946,1758.72998,1743.819946,1755.199951,4068.41
2/5/2014,1753.380005,1755.790039,1737.920044,1751.640015,3984.29
2/6/2014,1752.98999,1774.060059,1752.98999,1773.430054,3825.41
2/7/2014,1776.01001,1798.030029,1776.01001,1797.02002,3775.99
2/10/2014,1796.199951,1799.939941,1791.829956,1799.839966,3312.16
2/11/2014,1800.449951,1823.540039,1800.410034,1819.75,3699.38
2/12/2014,1820.119995,1826.550049,1815.969971,1819.26001,3326.38
2/13/2014,1814.819946,1830.25,1809.219971,1829.829956,3289.51
2/14/2014,1828.459961,1841.650024,1825.589966,1838.630005,3114.75
2/18/2014,1839.030029,1842.869995,1835.01001,1840.76001,3421.11
2/19/2014,1838.900024,1847.5,1826.98999,1828.75,3661.57
2/20/2014,1829.23999,1842.790039,1824.579956,1839.780029,3404.98
2/21/2014,1841.069946,1846.130005,1835.599976,1836.25,3403.88
2/24/2014,1836.780029,1858.709961,1836.780029,1847.609985,4014.53
2/25/2014,1847.660034,1852.910034,1840.189941,1845.119995,3515.56
2/26/2014,1845.790039,1852.650024,1840.660034,1845.160034,3716.73
2/27/2014,1844.900024,1854.530029,1841.130005,1854.290039,3547.46
2/28/2014,1855.119995,1867.920044,1847.670044,1859.449951,3917.45
3/3/2014,1857.680054,1857.680054,1834.439941,1845.72998,3428.22
3/4/2014,1849.22998,1876.22998,1849.22998,1873.910034,3765.77
3/5/2014,1874.050049,1876.530029,1871.109985,1873.810059,3392.99
3/6/2014,1874.180054,1881.939941,1874.180054,1877.030029,3360.45
3/7/2014,1878.52002,1883.569946,1870.560059,1878.040039,3564.74
3/10/2014,1877.859985,1877.869995,1867.040039,1877.170044,3021.35
3/11/2014,1878.26001,1882.349976,1863.880005,1867.630005,3392.4
3/12/2014,1866.150024,1868.380005,1854.380005,1868.199951,3270.86
3/13/2014,1869.060059,1874.400024,1841.859985,1846.339966,3670.99
3/14/2014,1845.069946,1852.439941,1839.569946,1841.130005,3285.46
3/17/2014,1842.810059,1862.300049,1842.810059,1858.829956,2860.49
3/18/2014,1858.920044,1873.76001,1858.920044,1872.25,2930.19
3/19/2014,1872.25,1874.140015,1850.349976,1860.77002,3289.21
3/20/2014,1860.089966,1873.48999,1854.630005,1872.01001,3327.54
3/21/2014,1874.530029,1883.969971,1863.459961,1866.52002,5270.71
3/24/2014,1867.670044,1873.339966,1849.689941,1857.439941,3409
3/25/2014,1859.47998,1871.869995,1855.959961,1865.619995,3200.56
3/26/2014,1867.089966,1875.920044,1852.560059,1852.560059,3480.85
3/27/2014,1852.109985,1855.550049,1842.109985,1849.040039,3733.43
3/28/2014,1850.069946,1866.630005,1850.069946,1857.619995,2955.52
3/31/2014,1859.160034,1875.180054,1859.160034,1872.339966,3274.3
4/1/2014,1873.959961,1885.839966,1873.959961,1885.52002,3336.19
4/2/2014,1886.609985,1893.170044,1883.790039,1890.900024,3131.66
4/3/2014,1891.430054,1893.800049,1882.650024,1888.77002,3055.6
4/4/2014,1890.25,1897.280029,1863.26001,1865.089966,3583.75
4/7/2014,1863.920044,1864.040039,1841.47998,1845.040039,3801.54
