NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2018/00108;01/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;01/03/2018;IN - Internet;S;F
213/2018/00109;02/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;13/02/2018;IN - Internet;S;J
213/2018/00110;02/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/02/2018;IN - Internet;S;F
213/2018/00111;10/01/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;14/03/2018;OT - Otros;N;
213/2018/00112;10/01/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;10/04/2018;OT - Otros;N;
213/2018/00113;02/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/02/2018;IN - Internet;S;F
213/2018/00114;02/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/03/2018;IN - Internet;S;F
213/2018/00115;03/02/2018;Secretaría General del Pleno;Inadmitir a Trámite;20/02/2018;IN - Internet;S;F
213/2018/00116;03/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;09/02/2018;IN - Internet;S;F
213/2018/00117;05/02/2018;Dirección General de Transparencia y Calidad;Desistimiento;05/02/2018;IN - Internet;S;F
213/2018/00119;05/02/2018;Dirección General de Transparencia y Calidad;Desistimiento;05/02/2018;IN - Internet;S;F
213/2018/00120;26/01/2018;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;19/02/2018;AC - Atención al ciudadano;S;F
213/2018/00121;05/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;13/02/2018;IN - Internet;S;J
213/2018/00122;05/02/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Resolución concediendo;13/03/2018;IN - Internet;N;
213/2018/00124;05/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;01/03/2018;IN - Internet;S;F
213/2018/00125;05/02/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;06/03/2018;IN - Internet;S;F
213/2018/00126;05/02/2018;Secretaría General Técnica de Vicealcaldía;Conceder;19/02/2018;IN - Internet;S;F
213/2018/00127;28/12/2017;Gerencia de Agencia de Actividades;Conceder;20/03/2018;AC - Atención al ciudadano;S;F
213/2018/00128;02/02/2018;Dirección General de Transparencia y Calidad;No admisión a trámite;06/03/2018;AC - Atención al ciudadano;S;F
213/2018/00130;06/02/2018;Dirección Agencia Tributaria Madrid;Inadmitir a Trámite;14/02/2018;IN - Internet;S;F
213/2018/00131;07/02/2018;Secretaría General del Pleno;Conceder;14/02/2018;IN - Internet;S;F
213/2018/00132;07/02/2018;Empresa Mixta de Servicios Funerarios, S.A.;Acumulación expediente;05/02/2018;IN - Internet;S;F
213/2018/00133;07/02/2018;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;12/03/2018;IN - Internet;S;F
213/2018/00134;07/02/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;26/02/2018;IN - Internet;S;F
213/2018/00135;05/02/2018;Coordinación General de Distritos, Transparencia y Participación Ciudadana;Inadmitir a Trámite;01/03/2018;IN - Internet;S;F
213/2018/00136;05/02/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Estimación parcial;05/03/2018;IN - Internet;S;F
213/2018/00137;05/02/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;12/02/2018;IN - Internet;S;F
213/2018/00138;08/02/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;05/03/2018;IN - Internet;S;F
213/2018/00139;08/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;08/03/2018;IN - Internet;S;F
213/2018/00140;09/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;14/02/2018;IN - Internet;S;F
213/2018/00141;10/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;14/02/2018;IN - Internet;S;F
213/2018/00142;12/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;20/02/2018;IN - Internet;S;F
213/2018/00143;12/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;14/02/2018;IN - Internet;S;F
213/2018/00144;12/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;15/02/2018;IN - Internet;S;F
213/2018/00145;12/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;16/02/2018;IN - Internet;S;F
213/2018/00146;12/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;19/02/2018;IN - Internet;S;F
213/2018/00147;13/02/2018;Coordinación del Distrito de Hortaleza;Conceder;22/02/2018;IN - Internet;S;F
213/2018/00148;08/02/2018;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;07/03/2018;AC - Atención al ciudadano;S;F
213/2018/00149;08/02/2018;Club de Campo Villa de Madrid, S.A.;Estimación parcial;07/03/2018;AC - Atención al ciudadano;S;F
213/2018/00150;13/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;19/02/2018;IN - Internet;S;F
213/2018/00151;13/02/2018;Dirección Agencia Tributaria Madrid;Conceder;21/02/2018;IN - Internet;S;F
213/2018/00152;13/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;09/03/2018;IN - Internet;S;F
213/2018/00153;14/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;09/03/2018;IN - Internet;S;F
213/2018/00154;14/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;20/02/2018;IN - Internet;S;F
213/2018/00155;14/02/2018;Gerencia de Agencia de Actividades;Conceder;20/03/2018;IN - Internet;S;F
213/2018/00156;14/02/2018;Dirección General de Transparencia y Calidad;Conceder;27/02/2018;IN - Internet;S;F
213/2018/00157;14/02/2018;Dirección General de Transparencia y Calidad;Conceder;27/02/2018;IN - Internet;S;F
213/2018/00158;14/02/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;26/03/2018;IN - Internet;S;F
213/2018/00160;14/02/2018;Dirección General de Transparencia y Calidad;TIPO I Publicada;16/02/2018;OT - Otros;N;
213/2018/00161;16/02/2018;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;08/03/2018;IN - Internet;S;F
213/2018/00164;16/02/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;09/03/2018;IN - Internet;S;F
213/2018/00165;17/02/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Estimación parcial;02/04/2018;IN - Internet;S;F
213/2018/00166;18/02/2018;Dirección General de Transparencia y Calidad;TIPO I Publicada;27/02/2018;IN - Internet;N;
213/2018/00167;19/02/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;09/03/2018;IN - Internet;S;F
213/2018/00168;16/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;12/03/2018;AC - Atención al ciudadano;S;F
213/2018/00169;19/02/2018;Club de Campo Villa de Madrid, S.A.;Estimación parcial;16/03/2018;IN - Internet;S;F
213/2018/00170;20/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;03/04/2018;IN - Internet;S;F
213/2018/00171;20/02/2018;Dirección General de Transparencia y Calidad;Desistimiento;02/03/2018;IN - Internet;S;F
213/2018/00172;20/02/2018;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Conceder;21/03/2018;IN - Internet;S;F
213/2018/00173;16/02/2018;Coordinación General de Distritos, Transparencia y Participación Ciudadana;TIPO I Resuelta favorablemente;12/03/2018;IN - Internet;N;
213/2018/00174;16/02/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;13/03/2018;IN - Internet;N;
213/2018/00175;16/02/2018;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;TIPO I Resuelta favorablemente;28/02/2018;IN - Internet;N;
213/2018/00176;15/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;05/03/2018;IN - Internet;S;F
213/2018/00177;15/02/2018;Gerencia de Madrid Salud;Conceder;22/03/2018;IN - Internet;S;F
213/2018/00178;20/02/2018;Empresa Municipal de Transportes, S.A.;;;IN - Internet;S;F
213/2018/00179;20/02/2018;Gerencia Informática Ayuntamiento de Madrid;Conceder parcial;16/03/2018;IN - Internet;S;F
213/2018/00181;21/02/2018;Gerencia de Madrid Salud;Conceder;22/03/2018;IN - Internet;S;F
213/2018/00182;21/02/2018;Dirección Agencia Tributaria Madrid;Conceder;09/03/2018;IN - Internet;S;F
213/2018/00183;22/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;15/03/2018;IN - Internet;S;F
213/2018/00184;02/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/03/2018;AC - Atención al ciudadano;S;F
213/2018/00185;08/02/2018;Coordinación del Distrito de Carabanchel;Conceder;12/04/2018;AC - Atención al ciudadano;S;F
213/2018/00186;08/02/2018;Coordinación del Distrito de Carabanchel;Conceder;12/04/2018;AC - Atención al ciudadano;S;F
213/2018/00187;08/02/2018;Coordinación del Distrito de Carabanchel;Conceder;12/04/2018;AC - Atención al ciudadano;S;F
213/2018/00188;22/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;15/03/2018;IN - Internet;S;F
213/2018/00189;22/02/2018;Empresa Municipal de Transportes, S.A.;Resolución denegando;20/03/2018;IN - Internet;S;F
213/2018/00190;22/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;;;IN - Internet;S;F
213/2018/00191;23/02/2018;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;TIPO I Resuelta favorablemente;14/03/2018;IN - Internet;N;
213/2018/00193;23/02/2018;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;TIPO I Resuelta favorablemente;15/03/2018;IN - Internet;N;
213/2018/00194;23/02/2018;Dirección General de Transparencia y Calidad;Desistimiento;13/03/2018;IN - Internet;S;J
213/2018/00195;23/02/2018;Dirección General de Transparencia y Calidad;Conceder;02/03/2018;IN - Internet;S;F
213/2018/00196;23/02/2018;Empresa Municipal de Transportes, S.A.;;;IN - Internet;S;F
213/2018/00197;23/02/2018;Empresa Municipal de Transportes, S.A.;;;IN - Internet;S;F
213/2018/00198;24/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;12/03/2018;IN - Internet;S;F
213/2018/00199;24/02/2018;Empresa Municipal de Transportes, S.A.;Denegar;07/03/2018;IN - Internet;S;F
213/2018/00200;25/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;07/03/2018;IN - Internet;S;F
213/2018/00203;26/02/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;20/03/2018;IN - Internet;S;F
213/2018/00204;26/02/2018;Coordinación del Distrito de Chamartín;;;IN - Internet;S;F
213/2018/00205;26/02/2018;Dirección General de Transparencia y Calidad;TIPO I Publicada;05/03/2018;IN - Internet;N;
213/2018/00206;23/02/2018;Club de Campo Villa de Madrid, S.A.;Estimación parcial;16/03/2018;AC - Atención al ciudadano;S;F
213/2018/00207;23/02/2018;Club de Campo Villa de Madrid, S.A.;Estimación parcial;22/03/2018;AC - Atención al ciudadano;S;F
213/2018/00208;23/02/2018;Club de Campo Villa de Madrid, S.A.;No admisión a trámite;16/03/2018;AC - Atención al ciudadano;S;F
213/2018/00209;23/02/2018;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;16/03/2018;AC - Atención al ciudadano;S;F
213/2018/00210;27/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;15/03/2018;IN - Internet;S;F
213/2018/00211;27/02/2018;Gerencia de Madrid Salud;Conceder;22/03/2018;IN - Internet;S;F
213/2018/00212;27/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;02/03/2018;IN - Internet;S;F
213/2018/00213;27/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;02/03/2018;IN - Internet;S;F
213/2018/00214;28/02/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;02/03/2018;IN - Internet;S;F
213/2018/00215;28/02/2018;Empresa Municipal de Transportes, S.A.;Resolución concediendo;14/04/2018;IN - Internet;S;F
213/2018/00216;28/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;08/03/2018;IN - Internet;N;
213/2018/00218;01/03/2018;Coordinación del Distrito de Usera;Conceder;12/04/2018;IN - Internet;S;F
213/2018/00220;01/03/2018;Coordinación del Distrito de Barajas;Conceder;06/03/2018;IN - Internet;S;F
213/2018/00221;01/03/2018;Coordinación del Distrito de Barajas;Acumulación expediente;02/03/2018;IN - Internet;S;F
213/2018/00222;01/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;04/04/2018;IN - Internet;S;F
213/2018/00223;01/03/2018;Dirección General de Transparencia y Calidad;Conceder;20/03/2018;IN - Internet;S;F
213/2018/00224;02/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;16/03/2018;IN - Internet;S;F
213/2018/00225;26/02/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;21/03/2018;IN - Internet;S;F
213/2018/00226;26/02/2018;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Conceder;19/03/2018;IN - Internet;S;F
213/2018/00227;02/03/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;TIPO I Resuelta favorablemente;13/03/2018;CE - Correo electrónico;N;
213/2018/00228;02/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;28/03/2018;IN - Internet;S;F
213/2018/00229;02/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;27/03/2018;IN - Internet;S;F
213/2018/00230;02/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;20/03/2018;IN - Internet;S;F
213/2018/00231;02/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;27/03/2018;IN - Internet;S;F
213/2018/00232;03/03/2018;Gerencia de Madrid Salud;Conceder;13/03/2018;IN - Internet;S;F
213/2018/00233;05/03/2018;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;20/03/2018;IN - Internet;S;J
213/2018/00234;05/03/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;07/03/2018;IN - Internet;S;F
213/2018/00235;06/03/2018;Secretaría General Técnica de Vicealcaldía;Resolución concediendo;03/05/2018;IN - Internet;N;
213/2018/00236;06/03/2018;Dirección General de Transparencia y Calidad;Conceder;20/03/2018;IN - Internet;S;F
213/2018/00237;06/03/2018;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;04/04/2018;IN - Internet;S;F
213/2018/00238;02/03/2018;Club de Campo Villa de Madrid, S.A.;Estimación parcial;28/03/2018;AC - Atención al ciudadano;S;F
213/2018/00241;07/03/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;08/03/2018;IN - Internet;S;F
213/2018/00242;07/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/04/2018;IN - Internet;S;F
213/2018/00243;07/03/2018;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Acumulación expediente;05/04/2018;OT - Otros;N;
213/2018/00245;07/03/2018;Coordinación del Distrito de Fuencarral-El Pardo;Conceder parcial;14/03/2018;IN - Internet;S;F
213/2018/00246;07/03/2018;Gerencia de Agencia de Actividades;Conceder;19/04/2018;IN - Internet;S;F
213/2018/00247;08/03/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;26/03/2018;IN - Internet;S;F
213/2018/00248;09/03/2018;Dirección General de Transparencia y Calidad;Desistimiento;27/06/2018;IN - Internet;S;F
213/2018/00249;20/02/2018;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;27/03/2018;IN - Internet;S;F
213/2018/00250;20/02/2018;Dirección General de Transparencia y Calidad;Conceder;15/03/2018;IN - Internet;S;F
213/2018/00251;09/03/2018;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;16/03/2018;IN - Internet;S;F
213/2018/00252;12/03/2018;Dirección General de Transparencia y Calidad;Conceder;20/03/2018;IN - Internet;S;F
213/2018/00253;12/03/2018;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;26/03/2018;IN - Internet;S;F
213/2018/00254;02/03/2018;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;18/04/2018;AC - Atención al ciudadano;S;F
