NUMERO_EXPEDIENTE;FECHA_SOLICITUD;ORGANO_COMPETENTE;DESCRIPCION_CAUSA_TERMINACION;FECHA_RESOLUCION;TIPO_DE_ENTRADA;IDENTIFICACION_SOLICITANTE(S/N);PERSONA_FISICA/JURIDICA
213/2015/00013;11/12/2015;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;14/01/2016;IN - Internet;N;
213/2015/00016;14/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Resolución concediendo;11/03/2016;IN - Internet;S;F
213/2015/00019;15/12/2015;Secretaría General Técnica de Coordinación General de la Alcaldía;Estimación parcial;20/01/2016;IN - Internet;S;F
213/2015/00020;15/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;27/01/2016;IN - Internet;S;F
213/2015/00021;15/12/2015;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;15/01/2016;IN - Internet;S;F
213/2015/00022;15/12/2015;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;15/01/2016;IN - Internet;S;F
213/2015/00023;15/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;27/01/2016;IN - Internet;S;F
213/2015/00026;16/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;03/02/2016;IN - Internet;S;F
213/2015/00028;16/12/2015;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;15/01/2016;IN - Internet;N;
213/2015/00029;10/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;26/02/2016;AC - Atención al ciudadano;S;J
213/2015/00031;10/12/2015;Dirección General de Transparencia y Calidad;Resolución concediendo;13/01/2016;AC - Atención al ciudadano;S;J
213/2015/00033;10/12/2015;Dirección General de Transparencia y Calidad;No competencia municipal;08/01/2016;AC - Atención al ciudadano;S;J
213/2015/00036;20/12/2015;Dirección General de Transparencia y Calidad;Resolución concediendo;26/01/2016;IN - Internet;S;F
213/2015/00037;15/12/2015;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;19/01/2016;AC - Atención al ciudadano;S;F
213/2015/00038;22/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;05/02/2016;IN - Internet;S;F
213/2015/00039;22/12/2015;Dirección General de Transparencia y Calidad;Acumulación expediente;23/12/2015;IN - Internet;N;
213/2015/00040;22/12/2015;Dirección General de Transparencia y Calidad;TIPO I Publicada;28/12/2015;IN - Internet;N;
213/2015/00041;22/12/2015;Dirección General de Transparencia y Calidad;TIPO I No procedente;28/12/2015;IN - Internet;N;
213/2015/00042;23/12/2015;Dirección General de Transparencia y Calidad;Resolución concediendo;31/03/2016;IN - Internet;S;F
213/2015/00044;28/12/2015;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;27/01/2016;IN - Internet;N;
213/2015/00046;28/12/2015;Coordinación del Distrito de Chamartín;Resolución concediendo;23/03/2016;CE - Correo electrónico;N;
213/2015/00047;28/12/2015;Secretaría General Técnica de Coordinación General de la Alcaldía;Resolución concediendo;01/03/2016;IN - Internet;S;F
213/2015/00048;28/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;26/02/2016;IN - Internet;S;F
213/2015/00049;28/12/2015;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;15/04/2016;IN - Internet;S;F
213/2015/00050;28/12/2015;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Estimación parcial;23/02/2016;IN - Internet;N;
213/2015/00051;28/12/2015;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;27/01/2016;IN - Internet;N;
213/2015/00053;28/12/2015;Dirección General de Transparencia y Calidad;Imposible continuación procedimiento/actuación;30/12/2015;AC - Atención al ciudadano;S;F
213/2015/00054;30/12/2015;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;01/04/2016;IN - Internet;S;F
213/2015/00055;26/12/2015;Gerencia de Agencia de Actividades;Inadmitir a Trámite;29/02/2016;IN - Internet;S;F
213/2015/00056;26/12/2015;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;17/02/2016;IN - Internet;S;F
213/2015/00057;26/12/2015;Coordinación General de Distritos, Transparencia y Participación Ciudadana;Inadmitir a Trámite;27/01/2016;IN - Internet;S;F
213/2016/00001;02/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;13/05/2016;IN - Internet;N;
213/2016/00003;05/01/2016;Dirección General de Transparencia y Calidad;TIPO I No procedente;05/01/2016;IN - Internet;N;
213/2016/00004;05/01/2016;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;TIPO I Resuelta favorablemente;09/02/2016;IN - Internet;N;
213/2016/00005;05/01/2016;Coordinación General de Distritos, Transparencia y Participación Ciudadana;TIPO I Resuelta favorablemente;08/02/2016;IN - Internet;N;
213/2016/00105;06/01/2016;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;TIPO I Resuelta favorablemente;16/06/2016;CE - Correo electrónico;N;
213/2016/00126;13/01/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder parcial;26/02/2016;IN - Internet;S;F
213/2016/00127;13/01/2016;Dirección Agencia Tributaria Madrid;Denegar;15/02/2016;IN - Internet;S;F
213/2016/00128;14/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;12/02/2016;OT - Otros;N;
213/2016/00129;14/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;11/02/2016;OT - Otros;N;
213/2016/00130;14/01/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;26/01/2016;IN - Internet;S;F
213/2016/00131;14/01/2016;Gerencia de Madrid Salud;Conceder parcial;15/02/2016;IN - Internet;S;F
213/2016/00133;14/01/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;04/02/2016;IN - Internet;S;F
213/2016/00134;15/01/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;26/01/2016;IN - Internet;S;F
213/2016/00135;11/01/2016;Coordinación del Distrito de Fuencarral-El Pardo;Resolución concediendo;22/02/2016;AC - Atención al ciudadano;S;F
213/2016/00136;16/01/2016;Dirección General de Transparencia y Calidad;TIPO I Resuelta favorablemente;01/02/2016;IN - Internet;N;
213/2016/00137;16/01/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;26/01/2016;IN - Internet;S;F
213/2016/00138;17/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;25/01/2016;IN - Internet;S;F
213/2016/00139;18/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;09/02/2016;IN - Internet;S;F
213/2016/00140;18/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;18/02/2016;IN - Internet;S;F
213/2016/00141;19/01/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;TIPO I Resuelta favorablemente;17/02/2016;IN - Internet;S;F
213/2016/00142;19/01/2016;Dirección General de Transparencia y Calidad;No admisión a trámite;17/03/2016;IN - Internet;S;F
213/2016/00145;19/01/2016;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;25/01/2016;IN - Internet;N;
213/2016/00146;20/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;17/02/2016;MD - Madrid 010;S;F
213/2016/00147;20/01/2016;Dirección General de Transparencia y Calidad;No admisión a trámite;14/03/2016;IN - Internet;S;F
213/2016/00148;20/01/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;17/02/2016;IN - Internet;S;F
213/2016/00149;20/01/2016;Coordinación del Distrito de Carabanchel;TIPO I Falta concreción;24/03/2016;IN - Internet;S;F
213/2016/00150;20/01/2016;Gerencia de Madrid Salud;Conceder;25/02/2016;IN - Internet;S;F
213/2016/00151;21/01/2016;Coordinación del Distrito de Centro;Conceder;26/02/2016;IN - Internet;S;F
213/2016/00152;20/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;17/02/2016;AC - Atención al ciudadano;S;F
213/2016/00153;22/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;14/03/2016;MD - Madrid 010;S;F
213/2016/00154;25/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;23/02/2016;IN - Internet;S;F
213/2016/00155;25/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;22/02/2016;CE - Correo electrónico;S;F
213/2016/00157;26/01/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;17/02/2016;MD - Madrid 010;S;F
213/2016/00159;27/01/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder parcial;12/04/2016;CE - Correo electrónico;S;F
213/2016/00160;27/01/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Denegar;04/04/2016;IN - Internet;S;F
213/2016/00161;26/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;25/02/2016;OT - Otros;S;F
213/2016/00162;28/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;23/02/2016;IN - Internet;S;F
213/2016/00163;26/01/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;25/02/2016;OT - Otros;S;F
213/2016/00164;29/01/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;03/03/2016;IN - Internet;S;F
213/2016/00166;28/01/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;11/02/2016;OT - Otros;S;J
213/2016/00167;01/02/2016;Dirección General de Transparencia y Calidad;No admisión a trámite;11/03/2016;IN - Internet;S;F
213/2016/00168;30/12/2015;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;26/02/2016;AC - Atención al ciudadano;S;F
213/2016/00169;29/01/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;10/03/2016;IN - Internet;S;F
213/2016/00170;29/01/2016;Empresa Municipal de Transportes, S.A.;Resolución concediendo;02/03/2016;IN - Internet;S;F
213/2016/00171;29/01/2016;Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.;Resolución concediendo;11/02/2016;IN - Internet;S;F
213/2016/00172;29/01/2016;Mercamadrid S.A.;Resolución concediendo;29/03/2016;IN - Internet;S;F
213/2016/00173;29/01/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;18/02/2016;IN - Internet;S;F
213/2016/00174;29/01/2016;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;18/02/2016;IN - Internet;S;F
213/2016/00175;29/01/2016;Madrid Calle 30, S.A.;Resolución concediendo;19/02/2016;IN - Internet;S;F
213/2016/00176;02/02/2016;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;TIPO I Resuelta favorablemente;12/04/2016;OT - Otros;N;
213/2016/00179;02/02/2016;Coordinación del Distrito de Chamberí;Conceder;23/02/2016;IN - Internet;S;F
213/2016/00180;02/02/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Resolución concediendo;01/03/2016;IN - Internet;S;F
213/2016/00182;03/02/2016;Coordinación del Distrito de Ciudad Lineal;Conceder;24/02/2016;IN - Internet;S;F
213/2016/00184;06/02/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;07/03/2016;IN - Internet;S;F
213/2016/00185;08/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;17/02/2016;IN - Internet;S;F
213/2016/00186;03/02/2016;Secretaría General del Pleno;Inadmitir a Trámite;19/02/2016;OT - Otros;S;F
213/2016/00187;08/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;21/03/2016;IN - Internet;N;
213/2016/00188;08/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;22/04/2016;IN - Internet;S;F
213/2016/00189;08/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;26/02/2016;IN - Internet;S;F
213/2016/00190;03/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;03/03/2016;IN - Internet;S;F
213/2016/00191;03/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;23/02/2016;IN - Internet;S;F
213/2016/00192;03/02/2016;Mercamadrid S.A.;Resolución concediendo;29/03/2016;IN - Internet;S;F
213/2016/00193;03/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;18/02/2016;IN - Internet;S;F
213/2016/00194;03/02/2016;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;16/02/2016;IN - Internet;S;F
213/2016/00195;03/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;19/02/2016;IN - Internet;S;F
213/2016/00197;09/02/2016;Coordinación del Distrito de Chamartín;Conceder parcial;04/03/2016;IN - Internet;S;F
213/2016/00198;10/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Denegar;10/03/2016;IN - Internet;S;F
213/2016/00202;10/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;11/03/2016;MD - Madrid 010;S;F
213/2016/00203;07/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;10/03/2016;AC - Atención al ciudadano;S;F
213/2016/00204;07/02/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;01/04/2016;AC - Atención al ciudadano;S;F
213/2016/00205;10/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;08/03/2016;IN - Internet;S;F
213/2016/00206;10/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;09/06/2016;OT - Otros;N;
213/2016/00207;10/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;07/03/2016;IN - Internet;S;F
213/2016/00208;10/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;15/02/2016;IN - Internet;S;J
213/2016/00209;10/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Conceder;26/02/2016;IN - Internet;S;F
213/2016/00210;11/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;03/03/2016;IN - Internet;S;F
213/2016/00211;11/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Inadmitir a Trámite;21/03/2016;IN - Internet;S;F
213/2016/00212;10/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;31/05/2016;OT - Otros;S;F
213/2016/00213;10/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;Resolución concediendo;31/03/2016;OT - Otros;S;F
213/2016/00214;12/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;04/03/2016;OT - Otros;N;
213/2016/00215;12/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;26/02/2016;OT - Otros;N;
213/2016/00216;12/02/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;01/04/2016;IN - Internet;S;F
213/2016/00217;12/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;29/02/2016;IN - Internet;S;F
213/2016/00218;13/02/2016;Dirección General de Transparencia y Calidad;Resolución concediendo;29/02/2016;IN - Internet;S;F
213/2016/00219;14/02/2016;Dirección General de Transparencia y Calidad;No competencia municipal;25/02/2016;IN - Internet;N;
213/2016/00220;15/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;19/02/2016;OT - Otros;N;
213/2016/00221;16/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;17/03/2016;OT - Otros;N;
213/2016/00222;16/02/2016;Gerencia de Agencia de Actividades;Estimación parcial;17/03/2016;OT - Otros;N;
213/2016/00223;16/02/2016;Gerencia de Agencia de Actividades;TIPO I No procedente;17/03/2016;OT - Otros;N;
213/2016/00224;16/02/2016;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;17/03/2016;CE - Correo electrónico;N;
213/2016/00225;16/02/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;TIPO I Publicada;15/03/2016;IN - Internet;N;
213/2016/00226;16/02/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;TIPO I Resuelta favorablemente;29/03/2016;IN - Internet;N;
213/2016/00227;16/02/2016;Gerencia de Madrid Salud;TIPO I Publicada;08/03/2016;IN - Internet;N;
213/2016/00228;16/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;Desistimiento;21/03/2016;IN - Internet;S;F
213/2016/00229;17/02/2016;Dirección General de Transparencia y Calidad;Conceder;29/02/2016;IN - Internet;S;F
213/2016/00231;18/02/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Resolución concediendo;09/05/2016;OT - Otros;N;
213/2016/00232;18/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;29/02/2016;IN - Internet;S;F
213/2016/00233;18/02/2016;Secretaría General Técnica de Vicealcaldía;TIPO I Resuelta favorablemente;17/03/2016;IN - Internet;N;
213/2016/00234;19/02/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;25/02/2016;OT - Otros;N;
213/2016/00235;19/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;04/03/2016;IN - Internet;S;F
213/2016/00236;19/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;04/03/2016;IN - Internet;S;F
213/2016/00237;19/02/2016;Gerencia de Madrid Salud;Conceder;22/03/2016;IN - Internet;S;F
213/2016/00238;10/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;22/02/2016;OT - Otros;S;F
213/2016/00239;19/02/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;11/04/2016;IN - Internet;N;
213/2016/00240;21/02/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;15/04/2016;IN - Internet;S;F
213/2016/00241;21/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I No procedente;29/02/2016;IN - Internet;N;
213/2016/00242;21/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I No procedente;29/02/2016;IN - Internet;N;
213/2016/00245;23/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;29/02/2016;IN - Internet;S;F
213/2016/00246;24/02/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;TIPO I Resuelta favorablemente;17/03/2016;OT - Otros;N;
213/2016/00247;24/02/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;01/04/2016;MD - Madrid 010;S;F
213/2016/00248;22/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;22/03/2016;IN - Internet;S;F
213/2016/00249;22/02/2016;Gerencia de Madrid Salud;Conceder;09/03/2016;IN - Internet;S;F
213/2016/00250;22/02/2016;Dirección General de Transparencia y Calidad;Conceder;29/02/2016;IN - Internet;S;F
213/2016/00251;24/02/2016;Coordinación del Distrito de Chamberí;TIPO I Falta concreción;04/03/2016;OT - Otros;N;
213/2016/00252;24/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;03/03/2016;IN - Internet;S;F
213/2016/00255;25/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;30/03/2016;OT - Otros;N;
213/2016/00256;25/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;29/02/2016;IN - Internet;S;F
213/2016/00257;25/02/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;13/07/2016;IN - Internet;N;
213/2016/00258;25/02/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;02/03/2016;IN - Internet;N;
213/2016/00259;26/02/2016;Gerencia de Madrid Salud;TIPO I Publicada;11/03/2016;IN - Internet;N;
213/2016/00260;26/02/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;30/03/2016;IN - Internet;S;F
213/2016/00261;27/02/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;03/03/2016;IN - Internet;S;F
213/2016/00262;28/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Resolución concediendo;19/04/2016;IN - Internet;S;F
213/2016/00263;28/02/2016;Institución Ferial de Madrid;Resolución concediendo;18/03/2016;IN - Internet;S;F
213/2016/00264;01/03/2016;Coordinación del Distrito de Carabanchel;TIPO I Resuelta favorablemente;21/04/2016;OT - Otros;N;
213/2016/00265;05/02/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;Conceder;30/03/2016;AC - Atención al ciudadano;S;F
213/2016/00266;01/03/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;22/03/2016;OT - Otros;N;
213/2016/00267;01/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;08/04/2016;OT - Otros;S;F
213/2016/00269;01/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;04/03/2016;OT - Otros;N;
213/2016/00270;01/03/2016;Dirección General de Transparencia y Calidad;Conceder parcial;03/03/2016;IN - Internet;S;F
213/2016/00271;01/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;03/03/2016;IN - Internet;S;F
213/2016/00272;02/03/2016;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;16/03/2016;IN - Internet;S;F
213/2016/00273;02/03/2016;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;Conceder;01/04/2016;IN - Internet;S;F
213/2016/00274;03/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;31/03/2016;IN - Internet;S;F
213/2016/00275;03/03/2016;Gerencia de Agencia de Actividades;Conceder;19/04/2016;IN - Internet;S;F
213/2016/00276;03/03/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;TIPO I Resuelta favorablemente;15/03/2016;OT - Otros;N;
213/2016/00277;03/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;30/03/2016;OT - Otros;N;
213/2016/00278;03/03/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;21/03/2016;OT - Otros;N;
213/2016/00279;04/03/2016;Secretaría General Técnica de Vicealcaldía;Resolución concediendo;29/07/2016;IN - Internet;S;F
213/2016/00280;04/03/2016;Secretaría General Técnica del Área de Gobierno de Desarrollo Urbano;TIPO I Resuelta favorablemente;01/04/2016;IN - Internet;N;
213/2016/00282;07/03/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;Resolución concediendo;05/04/2016;IN - Internet;S;F
213/2016/00283;07/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;07/04/2016;IN - Internet;S;F
213/2016/00284;07/03/2016;Secretaría General Técnica de Coordinación General de la Alcaldía;TIPO I Falta concreción;10/03/2016;OT - Otros;N;
213/2016/00285;07/03/2016;Secretaría General Técnica del Área de Gobierno de Hacienda y Personal;Conceder;21/03/2016;IN - Internet;S;F
213/2016/00286;07/03/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;19/03/2016;IN - Internet;S;F
213/2016/00287;08/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;14/03/2016;OT - Otros;N;
213/2016/00288;08/03/2016;Dirección General de Transparencia y Calidad;Estimación parcial;06/04/2016;OT - Otros;N;
213/2016/00289;08/03/2016;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;17/03/2016;IN - Internet;S;F
213/2016/00290;25/02/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;02/06/2016;AC - Atención al ciudadano;S;F
213/2016/00292;09/03/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;10/03/2016;IN - Internet;N;
213/2016/00293;09/03/2016;Secretaría General Técnica de Vicealcaldía;Conceder;31/03/2016;MD - Madrid 010;S;F
213/2016/00294;09/03/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Resolución concediendo;05/04/2016;OT - Otros;N;
213/2016/00295;09/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;11/03/2016;IN - Internet;S;F
213/2016/00297;10/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;TIPO I Resuelta favorablemente;21/03/2016;OT - Otros;N;
213/2016/00298;10/03/2016;Madrid Destino, Cultura, Turismo y Negocio S.A.;TIPO I Resuelta favorablemente;15/06/2016;CE - Correo electrónico;N;
213/2016/00299;10/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;11/03/2016;IN - Internet;S;J
213/2016/00300;09/03/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;16/03/2016;IN - Internet;N;
213/2016/00301;09/03/2016;Secretaría General Técnica del AG de Portavoz, Seguridad y Emergencias;TIPO I Resuelta favorablemente;04/04/2016;IN - Internet;N;
213/2016/00302;01/03/2016;Club de Campo Villa de Madrid, S.A.;Resolución concediendo;31/03/2016;OT - Otros;S;F
213/2016/00303;29/02/2016;Coordinación del Distrito de Fuencarral-El Pardo;Conceder;05/04/2016;OT - Otros;S;J
213/2016/00306;11/03/2016;Dirección Agencia Tributaria Madrid;TIPO I No procedente;16/03/2016;OT - Otros;N;
213/2016/00307;11/03/2016;Coordinación General de Distritos, Transparencia y Participación Ciudadana;TIPO I Inadmisión art. 18 LT;16/03/2016;OT - Otros;N;
213/2016/00308;15/03/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Resolución concediendo;30/03/2016;OT - Otros;N;
213/2016/00309;15/03/2016;Secretaría General Técnica del Área de Gobierno de Cultura, Turismo y Deporte;TIPO I Resuelta favorablemente;11/04/2016;OT - Otros;N;
213/2016/00311;15/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;31/03/2016;IN - Internet;S;F
213/2016/00312;15/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;23/03/2016;IN - Internet;S;F
213/2016/00313;17/03/2016;Coordinación del Distrito de Centro;No admisión a trámite;26/04/2016;OT - Otros;N;
213/2016/00314;17/03/2016;Dirección General de Transparencia y Calidad;Conceder;23/03/2016;IN - Internet;S;F
213/2016/00315;18/03/2016;Secretaría General Técnica del Área de Gobierno de Medio Ambiente y Movilidad;Conceder;19/04/2016;IN - Internet;S;F
213/2016/00316;20/03/2016;Empresa Mixta de Servicios Funerarios, S.A.;Resolución concediendo;07/04/2016;IN - Internet;S;F
213/2016/00317;20/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;01/04/2016;IN - Internet;S;F
213/2016/00318;22/03/2016;Dirección General de Transparencia y Calidad;Inadmitir a Trámite;01/04/2016;IN - Internet;S;F
213/2016/00319;23/03/2016;Secretaría General Técnica del AG de Familias, Igualdad y Bienestar Social;Resolución concediendo;14/04/2016;OT - Otros;N;
213/2016/00320;25/03/2016;Dirección General de Transparencia y Calidad;TIPO I Publicada;30/03/2016;IN - Internet;N;
