,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
85,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/CHZ_Token_updated.png?1675848257,0.062984,439568048,86,560130329.0,20084452.0,0.063251,0.061518,0.000362,0.57808,2831299.0,0.64829,6975647158.46,8888888888.0,8888888888.0,0.878633,-92.82838,2021-03-13T08:04:21.200Z,0.00410887,1433.56412,2019-09-28T00:00:00.000Z,,2023-08-25T23:23:50.597Z,1.8629144329885172,usd,186.29144329885173
86,frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/Frax_Shares_icon.png?1679886947,5.82,426989430,87,580501821.0,15679558.0,6.04,5.8,-0.124896045581389,-2.10099,-9252545.460541427,-2.12097,73320949.9448053,99681495.5911336,99681495.5911336,42.8,-86.40109,2022-01-12T15:22:27.465Z,1.5,287.20444,2021-06-25T16:50:51.447Z,,2023-08-25T23:23:56.428Z,,,
87,frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1679886981,1651.58,420652221,88,420652221.0,1374977.0,1659.95,1635.63,0.132411,0.00802,902330.0,0.21497,254692.319282724,254692.319282724,,2134.61,-22.66589,2023-04-16T19:24:52.171Z,1137.25,45.15597,2022-11-23T02:25:33.267Z,,2023-08-25T23:23:56.860Z,,,
88,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.145578,404822644,89,404822644.0,4199195.0,0.14619,0.143768,0.0007388,0.51008,2484137.0,0.61742,2779530283.277761,2779530283.0,,5.25,-97.22234,2017-12-19T00:00:00.000Z,0.081637,78.58647,2020-03-13T02:22:41.168Z,,2023-08-25T23:23:51.711Z,3.173015034082453,btc,317.3015034082453
89,casper-network,cspr,Casper Network,https://assets.coingecko.com/coins/images/15279/large/casper.PNG?1620341020,0.03567347,402335034,90,426968643.0,3036613.0,0.03617048,0.03540421,-0.000297734391230778,-0.8277,-3093370.0903001428,-0.76299,11272376627.0,11962546006.0,,1.33,-97.30679,2021-05-12T00:00:00.000Z,0.02241297,59.26933,2022-06-18T20:14:44.694Z,,2023-08-25T23:23:52.890Z,,,
90,sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1683114182,0.553352,400575266,91,5539217506.0,114595606.0,0.57195,0.535909,-0.012665941695901628,-2.23773,-8453524.247497082,-2.06673,723162190.461538,10000000000.0,10000000000.0,2.16,-74.30157,2023-05-03T12:00:26.430Z,0.462847,20.06834,2023-08-17T22:50:06.690Z,,2023-08-25T23:23:49.173Z,,,
91,curve-dao-token,crv,Curve DAO,https://assets.coingecko.com/coins/images/12124/large/Curve.png?1597369484,0.453152,387703189,92,1497564259.0,37150463.0,0.45804,0.440471,0.00399788,0.89009,3289621.0,0.85575,855118818.0,2001326805.63106,3303030299.0,15.37,-97.05237,2020-08-14T00:00:00.000Z,0.331577,36.65396,2020-11-05T13:09:50.181Z,,2023-08-25T23:23:54.964Z,,,
92,bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1643857231,4.06109e-07,386496137,94,402167798.0,17595722.0,4.1545e-07,4.0531e-07,-7.69927779e-09,-1.86059,-7550517.719242871,-1.91615,951421714286000.0,990000000000000.0,990000000000000.0,3.43e-06,-88.18431,2022-01-21T04:00:31.909Z,4.04477e-07,0.23714,2023-08-22T21:30:58.414Z,,2023-08-25T23:23:48.132Z,,,
93,tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1672912391,4.83,386279946,93,482874076.0,6499234.0,4.96,4.82,-0.10174508954993654,-2.06393,-8475015.024800241,-2.14691,79995999.94518414,100000000.0,100000000.0,22.3,-78.34279,2022-10-31T10:23:59.455Z,0.111255,4240.25843,2019-04-28T00:00:00.000Z,,2023-08-25T23:22:17.077Z,15.619412375072582,usd,1561.9412375072582
94,huobi-token,ht,Huobi,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,2.41,383419168,95,483585226.0,11745216.0,2.42,2.4,-0.002663704038348591,-0.11057,-700959.3688892722,-0.18248,159406077.0,201050000.0,201050000.0,39.66,-93.93522,2021-05-12T14:42:21.586Z,0.3138,666.51989,2023-03-10T05:05:00+08:00,,2023-08-25T23:23:56.808Z,1.4307162424179687,usd,143.07162424179688
95,mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,0.393727,376864410,96,420236414.0,6110273.0,0.394765,0.383798,0.00120106,0.30598,1608834.0,0.42873,956998346.840039,1067135932.84004,,9.09,-95.66697,2021-06-01T01:42:37.064Z,0.372282,5.80351,2023-08-17T21:49:55.138Z,,2023-08-25T23:23:52.232Z,,,
96,dydx,dydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1628009360,2.16,375355680,97,2166777145.0,66145617.0,2.18,2.11,0.01909086,0.89087,4329916.0,1.16701,173232250.10396644,1000000000.0,1000000000.0,27.86,-92.23968,2021-09-30T01:23:43.570Z,1.011,113.93781,2022-06-18T20:55:50.603Z,,2023-08-25T23:23:53.109Z,,,
97,terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1653547790,6.302e-05,367105716,98,431649934.0,14431382.0,6.401e-05,6.192e-05,-6.37863081274e-07,-1.00207,-2751922.3337923884,-0.74405,5815608958037.98,6838104425623.77,,119.18,-99.99995,2022-04-05T12:24:58.854Z,9.99967e-07,6212.33188,2022-05-13T02:34:40.340Z,,2023-08-25T23:23:56.625Z,,,
98,pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1682922725,8.66736e-07,363064335,99,363064335.0,250006182.0,9.45208e-07,8.11657e-07,-6.978905998e-08,-7.45191,-32540401.43632841,-8.22548,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-79.90963,2023-05-05T16:50:45.302Z,5.5142e-08,1469.22888,2023-04-18T02:14:41.591Z,,2023-08-25T23:23:50.121Z,,,
99,trust-wallet-token,twt,Trust Wallet,https://assets.coingecko.com/coins/images/11085/large/Trust.png?1588062702,0.846108,352560809,100,846179992.0,5716545.0,0.85893,0.839456,-0.007273753480551703,-0.85234,-2978290.9876481295,-0.83768,416649900.0,1000000000.0,,2.72,-68.90091,2022-12-11T23:25:46.205Z,0.00277641,30377.39221,2020-06-09T09:15:06.983Z,,2023-08-25T23:23:56.522Z,,,
