CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,VP,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,OVSD,OVSDSE,IM,GM,IND0A100,LUG_NAC,LUGAR_EST,AÑOS
10,Durango,10039, Nuevo Ideal                                      ,26092,-,3.91,30.05,5.75,0.89,6.41,33.55,3.33,58.32,57.25,-,-,-0.76,Bajo,19.09,1841,-,2010
10,Durango,10039,Nuevo Ideal,25985,-,4.44,32.97,-,17.74,8.11,40.04,8.19,67.08,67.11,-,14.41,-0.771,Bajo,-,1834,28,2000
10,Durango,10034,Tamazula,25888,-,15.02,45.25,41.76,14.61,77.62,63.92,68.15,100,76.91,-,-,1.469,Muy alto,-,211,2,2005
10,Durango,10022,Poanas,25241,-,3.73,22.2,3.35,0.61,0.96,21.81,1.64,56.85,57.48,-,-,-0.846,Bajo,-,1934,32,2015
10,Durango,10013, Mapim�                                           ,25137,-,6.18,27.69,6.04,1.27,4.72,43.46,5.17,41.23,57.73,-,-,-0.667,Medio,20.137,1760,-,2010
10,Durango,10013,Mapim�,25124,-,9.51,52.9,31.82,9.86,18.75,62.33,19.68,69.56,77.13,-,-,-0.611,Bajo,-,1683,27,1990
10,Durango,10022, Poanas                                           ,24918,-,4.6,27.45,5.33,1.15,0.32,31.51,4.52,56.85,61.68,-,-,-0.801,Bajo,18.616,1877,-,2010
10,Durango,10022,Poanas,24331,-,5.38,37.24,-,1.04,1.03,37.25,10.34,58.21,75.84,-,12.35,-0.9,Bajo,-,1950,32,2000
10,Durango,10039,Nuevo Ideal,24245,-,4.06,28.07,9.83,2.3,26.09,36.75,5.88,62.25,65.35,-,-,-0.717,Bajo,-,1809,29,2005
10,Durango,10013,Mapim�,24024,4821,9.72,-,-,4.12,8.31,-,-,-,-,57.15,-,-0.577,Medio,-,1650,-,1995
10,Durango,10014,Mezquital,23763,-,46.73,80.11,75.49,83.33,70.78,72.92,66.54,100,67.58,-,-,1.397,Muy alto,-,222,2,1990
10,Durango,10022,Poanas,23466,-,5.61,32.3,9.07,0.84,0.53,34.05,10.19,56.12,73.85,-,-,-0.767,Bajo,-,1851,30,2005
10,Durango,10026,San Dimas,23318,-,11.91,56.81,51.64,60.19,34.01,65.58,32.26,100,61.23,-,-,-0.011,Medio,-,1198,12,1990
10,Durango,10026,San Dimas,23184,4345,11.13,-,-,52.22,41.31,-,-,-,-,81.22,-,0.178,Medio,-,1016,-,1995
10,Durango,10013,Mapim�,22940,-,7.87,32.37,6.81,0.9,5.14,45.51,10.79,62.47,65,-,-,-0.638,Medio,-,1745,24,2005
10,Durango,10036,Tlahualilo,22924,4860,6.37,-,-,2.95,7.98,-,-,-,-,64.99,-,-0.651,Medio,-,1710,-,1995
