"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@MaryAntonietah","MaryAntonietah","Sagasti pidiendo perdón a todos los jóvenes y a las familias de los fallecidos Inti, Bryan y heridos en su mensaje. Ya no puedo más, ni corazón está acelerado. No nos falles. #MensajeAlaNacion #DondeEstaMerino https://t.co/uL2Ju4eYl4","0","1","32","1605651295000","17 Nov 2020","MaryAntonietah/status/1328823959903670274","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion | DondeEstaMerino"
"@CristhianRS","Cristhian Rojas S","Se instala una comisión de bases con un plazo de 60 días para elaborar una propuesta para ""modernizar"" y fortalecer a la policía, liderada por el ministro del interior. #MensajeALaNación","2","11","64","1606183496000","24 Nov 2020","CristhianRS/status/1331056176201682945","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@PoderMarca","Marca Poder","#MensajeALaNación | #ManuelMerino indicó que los votos no fueron comprados. Aquí no hay nada que celebrar, este es un momento difícil para el país"" https://t.co/CxQkdmnhq8","0","0","0","1605023907000","10 Nov 2020","PoderMarca/status/1326192507143806978","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación | ManuelMerino"
"@RegalaSongPoem","Regala Song and Poem","#ManuelMerino #juró #como #nuevo #Presidente de la #República en el #Congreso #ante #LuisValdez #tras #vacancia de #MartínVizcarra y en #MensajeALaNación #anunció un #GabineteMinisterial de #unidad #nacional #Lima #Perú #10Nov #CambioDeMando #AcciónPopular https://t.co/ROk2NKMbPA","0","0","0","1605074575000","11 Nov 2020","RegalaSongPoem/status/1326405021169315840","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","ManuelMerino | juró | como | nuevo | Presidente | República | Congreso | ante | LuisValdez | tras | vacancia | MartínVizcarra | MensajeALaNación | anunció | GabineteMinisterial | unidad | nacional | Lima | Perú | 10Nov | CambioDeMando | AcciónPopular"
"@ideeleradio","Ideeleradio","#GlatzerTuesta: En un esperado, #MensajeALaNación, el presidente #FranciscoSagasti desarrolló un acto histórico y creo que tomó el toro por las astas para dar una señal inequívoca del interés del Gobierno tras los hechos lamentables ocurridos durante la represión policial https://t.co/PDRzhQJqf0","2","9","28","1606219936000","24 Nov 2020","ideeleradio/status/1331209016513613830","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","GlatzerTuesta | MensajeALaNación | FranciscoSagasti"
"@mangcer","Manolito","#MensajeALaNacion Se acabó! Bien, si todos los próximos mensajes van a ser así, vamos bien. Al punto y sin floro.","0","0","0","1605024063000","10 Nov 2020","mangcer/status/1326193161379704833","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
"@CristhianRS","Cristhian Rojas S","Sagasti anuncia el cambio de comandante general de la policía del Perú. #MensajeALaNación","2","37","163","1606183300000","24 Nov 2020","CristhianRS/status/1331055352402546688","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@GanoNatura","GanoNatura","#ManuelMerino #dio #MensajeALaNación #desde #Palacio de #Gobierno #anunciando #que #deja el #cargo de #Presidente de la #República y #envió #carta de #renuncia al #Congreso #tras #muertes y #crisis #política #Lima #Perú #15Nov #RenunciaMerino #LutoNacional https://t.co/mtmHlUgdnt","0","0","0","1605502529000","16 Nov 2020","GanoNatura/status/1328199991484157953","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","ManuelMerino | dio | MensajeALaNación | desde | Palacio | Gobierno | anunciando | que | deja | cargo | Presidente | República | envió | carta | renuncia | Congreso | tras | muertes | crisis | política | Lima | Perú | 15Nov | RenunciaMerino | LutoNacional"
"@TesiMagali","Magali_Mejia","Francisco Sagastegui nuevo Presidente de Perú a tirar del carro. #FranciscoSagasti #CesarVallejo #ContigoPeru #MensajeAlaNacion https://t.co/kQphqzwQpL","0","0","0","1605655771000","17 Nov 2020","TesiMagali/status/1328842734623485956","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","FranciscoSagasti | CesarVallejo | ContigoPeru | MensajeAlaNacion"
"@TercerOjo_Media","Tercer Ojo","#MensajeALaNación Sagasti da inicio a su discurso.","1","4","32","1606183334000","24 Nov 2020","TercerOjo_Media/status/1331055493071196160","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@Carlin18MD","Carlin18","El #Golpista @MartinVizcarraC se olvidó que tenía que presentar descargos ante las acusaciones en su contra. El truhan, dio un #MensajeALaNación, lleno de falsedades y se olvidó del meollo del asunto en detalle. Si el @congresoperu NO aprueba la #Vacancia, serán CÓMPLICES!!!","0","0","0","1604943865000","09 Nov 2020","Carlin18MD/status/1325856786335883269","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","Golpista | MensajeALaNación | Vacancia"
"@ikevinarnold","Kevin con memoria","En serio eso es todo? #MensajeALaNacion","0","0","1","1606183577000","24 Nov 2020","ikevinarnold/status/1331056513914384385","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
"@Samirae934","Sami ‧₊✜˚.⁵᯽❈⁷BE","Renunció #mensajealanacion #MerinoDictador #MerinoNoEsMiPresidente #MerinoNoNosRepresenta","0","0","1","1605460634000","15 Nov 2020","Samirae934/status/1328024270111387650","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","mensajealanacion | MerinoDictador | MerinoNoEsMiPresidente | MerinoNoNosRepresenta"
"@itselicacrxz","Elizabeth✨","SOLO ESTOY ESPERANDO TU RENUNCIA CRJ #mensajealanacion","0","0","0","1605460475000","15 Nov 2020","itselicacrxz/status/1328023602906718212","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","mensajealanacion"
"@_Trust_My_Rage","Krrg✨","#MensajeALaNación Francisco Sagasti sobre los casos de abusos policiales durante la marcha: ""No habrá impunidad"". https://t.co/bakKZUDYvV","0","0","0","1605652124000","17 Nov 2020","_Trust_My_Rage/status/1328827438118395906","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@roxinda","Roxi","""Fortalecer y agilizar los procesos de la policía nacional del Peru"" Es algo que no se escucha normalmente en la política, me alegro y a la vez espero que todo sr haga como dice el presidente #MensajeAlaNacion","0","0","0","1606184395000","24 Nov 2020","roxinda/status/1331059944356016130","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
"@bullon_lucia","Lucía Bullon","Lloramos juntos o ¿Qué? #MensajeAlaNacion","0","0","1","1605654530000","17 Nov 2020","bullon_lucia/status/1328837530532409347","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeAlaNacion"
"@anselu7","Andrea Alvarez A.","Sagasti: “El tiempo es corto y la tarea grande”. #MensajeALaNación","0","0","0","1606183701000","24 Nov 2020","anselu7/status/1331057036025585665","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNación"
"@enblancoperu","Página en Blanco","#MensajeALaNacion Pdte. Sagasti anuncia el fortalecimiento de la SUNEDU.","3","0","3","1605652810000","17 Nov 2020","enblancoperu/status/1328830317394792450","https://twitter.com/search?q=MensajeAlaNacion%20since%3A2020-11-01&src=typed_query","MensajeALaNacion"
