Date,NVDA
2021-02-08,14.398260116577148
2021-02-09,14.223251342773438
2021-02-10,14.722846984863281
2021-02-11,15.20798110961914
2021-02-12,14.919293403625488
2021-02-16,15.287261009216309
2021-02-17,14.8641996383667
2021-02-18,14.78741455078125
2021-02-19,14.884641647338867
2021-02-22,14.3154935836792
2021-02-23,14.102339744567871
2021-02-24,14.458340644836426
2021-02-25,13.270180702209473
2021-02-26,13.676039695739746
2021-03-01,13.802934646606445
2021-03-02,13.36865520477295
2021-03-03,12.768841743469238
2021-03-04,12.335559844970703
2021-03-05,12.426553726196289
2021-03-08,11.56074047088623
2021-03-09,12.489450454711914
2021-03-10,12.437576293945312
2021-03-11,12.961533546447754
2021-03-12,12.824373245239258
2021-03-15,13.158798217773438
2021-03-16,13.258550643920898
2021-03-17,13.308427810668945
2021-03-18,12.691200256347656
2021-03-19,12.814146995544434
2021-03-22,13.153810501098633
2021-03-23,13.038595199584961
2021-03-24,12.611896514892578
2021-03-25,12.504414558410645
2021-03-26,12.807662963867188
2021-03-29,12.916396141052246
2021-03-30,12.84008502960205
2021-03-31,13.315413475036621
2021-04-01,13.777769088745117
2021-04-05,13.95308780670166
2021-04-06,13.827398300170898
2021-04-07,14.1087064743042
2021-04-08,14.281780242919922
2021-04-09,14.36457347869873
2021-04-12,15.171586036682129
2021-04-13,15.640924453735352
2021-04-14,15.23941707611084
2021-04-15,16.097551345825195
2021-04-16,15.873353958129883
2021-04-19,15.323957443237305
2021-04-20,15.133928298950195
2021-04-21,15.322712898254395
2021-04-22,14.81371784210205
2021-04-23,15.227694511413574
2021-04-26,15.439921379089355
2021-04-27,15.343908309936523
2021-04-28,15.239167213439941
2021-04-29,15.2870512008667
2021-04-30,14.972575187683105
2021-05-03,14.800250053405762
2021-05-04,14.315945625305176
2021-05-05,14.422929763793945
2021-05-06,14.487272262573242
2021-05-07,14.775810241699219
2021-05-10,14.230656623840332
2021-05-11,14.271055221557617
2021-05-12,13.724652290344238
2021-05-13,13.631632804870605
2021-05-14,14.207962036132812
2021-05-17,14.130651473999023
2021-05-18,13.981269836425781
2021-05-19,14.031146049499512
2021-05-20,14.576550483703613
2021-05-21,14.95486831665039
2021-05-24,15.573591232299805
2021-05-25,15.609254837036133
2021-05-26,15.661375999450684
2021-05-27,15.449896812438965
2021-05-28,16.204538345336914
2021-06-01,16.224483489990234
2021-06-02,16.736970901489258
2021-06-03,16.928003311157227
2021-06-04,17.535009384155273
2021-06-07,17.57565689086914
2021-06-08,17.414052963256836
2021-06-09,17.319517135620117
2021-06-10,17.38611602783203
2021-06-11,17.78547477722168
2021-06-14,17.978538513183594
2021-06-15,17.74880599975586
2021-06-16,17.770509719848633
2021-06-17,18.615610122680664
2021-06-18,18.597158432006836
2021-06-21,18.386127471923828
2021-06-22,18.844606399536133
2021-06-23,19.01472282409668
2021-06-24,19.162643432617188
2021-06-25,18.9885311126709
2021-06-28,19.940404891967773
2021-06-29,19.982059478759766
2021-06-30,19.957862854003906
2021-07-01,20.16689682006836
2021-07-02,20.4412841796875
2021-07-06,20.652311325073242
2021-07-07,20.326290130615234
2021-07-08,19.85833740234375
2021-07-09,20.005508422851562
2021-07-12,20.46672821044922
2021-07-13,20.204811096191406
2021-07-14,19.797224044799805
2021-07-15,18.92392349243164
2021-07-16,18.120473861694336
2021-07-19,18.73784065246582
2021-07-20,18.570463180541992
2021-07-21,19.36668586730957
2021-07-22,19.550281524658203
2021-07-23,19.514358520507812
2021-07-26,19.250944137573242
2021-07-27,19.16514015197754
2021-07-28,19.45948028564453
2021-07-29,19.61812973022461
2021-07-30,19.455488204956055
2021-08-02,19.70592498779297
2021-08-03,19.770782470703125
2021-08-04,20.228757858276367
2021-08-05,20.59095001220703
2021-08-06,20.320552825927734
2021-08-09,20.249710083007812
2021-08-10,19.891510009765625
2021-08-11,19.65504264831543
2021-08-12,19.860578536987305
2021-08-13,20.142948150634766
2021-08-16,19.905481338500977
2021-08-17,19.414581298828125
2021-08-18,18.997514724731445
2021-08-19,19.753816604614258
2021-08-20,20.76955223083496
2021-08-23,21.90900230407715
2021-08-24,21.744369506835938
2021-08-25,22.163429260253906
2021-08-26,22.018760681152344
2021-08-27,22.58548355102539
2021-08-30,22.63736915588379
2021-08-31,22.3389835357666
2021-09-01,22.39487075805664
2021-09-02,22.34996223449707
2021-09-03,22.796043395996094
2021-09-07,22.615419387817383
2021-09-08,22.2930850982666
2021-09-09,22.13141632080078
2021-09-10,22.43179702758789
2021-09-13,22.106464385986328
2021-09-14,22.19628143310547
2021-09-15,22.29507827758789
2021-09-16,22.19628143310547
2021-09-17,21.854982376098633
2021-09-20,21.069602966308594
2021-09-21,21.202329635620117
2021-09-22,21.89590072631836
2021-09-23,22.435789108276367
2021-09-24,22.035606384277344
2021-09-27,21.615476608276367
2021-09-28,20.656452178955078
2021-09-29,20.47481918334961
2021-09-30,20.673416137695312
2021-10-01,20.699363708496094
2021-10-04,19.69144058227539
2021-10-05,20.40896224975586
2021-10-06,20.657451629638672
2021-10-07,21.031681060791016
2021-10-08,20.78818130493164
2021-10-11,20.6524600982666
2021-10-12,20.628511428833008
2021-10-13,20.89596176147461
2021-10-14,21.701297760009766
2021-10-15,21.817060470581055
2021-10-18,22.176321029663086
2021-10-19,22.24418067932129
2021-10-20,22.05756187438965
2021-10-21,22.645357131958008
2021-10-22,22.679285049438477
2021-10-25,23.11838150024414
2021-10-26,24.666194915771484
2021-10-27,24.400737762451172
2021-10-28,24.889734268188477
2021-10-29,25.51444435119629
2021-11-01,25.773914337158203
