FECHA_CORTE;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO_CCPP;CENTRO_POBLADO_ PTOATENC;CODIGO_2023_PLAFORMA_P;NOMBRE_PLATAFORMA_MOVIL_P;TIPO_PLATAFORMA;NIVEL_GOBIERNO;SECTOR;ENTIDAD;FECHA_INTERVENCION;ATENCIONES;MES;ANIO;TRIMESTRE
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060002;NUEVO ANDOAS;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240308; 260 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060054;SOPLIN;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240311; 29 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060054;SOPLIN;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240312; 117 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060054;SOPLIN;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240313; 63 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060054;SOPLIN;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240311; 63 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060054;SOPLIN;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240312; 246 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060054;SOPLIN;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240313; 249 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060076;SAN FERNANDO;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240318; 47 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060076;SAN FERNANDO;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240319; 134 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060076;SAN FERNANDO;9;PIAS AÉREA LORETO;AEREA;GOBIERNO CENTRAL;MINCUL;MINCUL;20240320; 70 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060076;SAN FERNANDO;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240319; 202 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;ANDOAS;1607060076;SAN FERNANDO;9;PIAS AÉREA LORETO;AEREA;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240320; 162 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240327; 135 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240328; 64 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240327; 38 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240328; 16 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240327; 29 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240328; 30 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240327; 53 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240328; 40 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240327; 5 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240328; 4 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240327; 75 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240328; 65 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240327; 121 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240328; 62 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240327; 95 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240328; 111 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240327; 81 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240328; 62 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240327; 926 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040001;PUERTO ALEGRIA;4;PIAS MORONA;FLUVIAL;GOBIERNO REGIONAL;MINSA;DIRESA LORETO;20240328; 1.005 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240308; 75 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240309; 49 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MEF;BANCO DE LA NACION;20240310; 7 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240308; 42 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240309; 65 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;SISFOH;20240310; 26 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240308; 29 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA PENSION 65;20240309; 10 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240308; 73 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240309; 106 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIDIS;PROGRAMA JUNTOS;20240310; 34 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240308; 2 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240309; 5 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - PNLCVF -AURORA;20240310; 2 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240308; 17 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240309; 19 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MIMP;MIMP - JUGUEMOS;20240310; 11 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240308; 131 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240309; 169 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINCUL;MINCUL;20240310; 79 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240308; 144 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240309; 98 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;MINSA;S.I.S.;20240310; 44 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240308; 129 ;202403;2024;I
20240528;LORETO;DATEM DEL MARAÑON;MORONA;1607040012;SARGENTO PUÑO;4;PIAS MORONA;FLUVIAL;GOBIERNO CENTRAL;PCM;RENIEC;20240309; 153 ;202403;2024;I
