DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLISTS INJURED,NUMBER OF CYCLISTS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/29/2016,12:10:00,BROOKLYN,11210.0,40.6276319,-73.9365196,"(40.6276319, -73.9365196)",ALBANY AVENUE,AVENUE J,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,VAN,,,
03/29/2016,13:20:00,MANHATTAN,10128.0,40.7807536,-73.9525754,"(40.7807536, -73.9525754)",3RD AVE,EAST 89TH STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,14:00:00,BROOKLYN,11211.0,40.7142282,-73.9443261,"(40.7142282, -73.9443261)",,,336 GRAHAM AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,,,,
03/29/2016,14:45:00,STATEN ISLAND,10310.0,40.6344476,-74.1184925,"(40.6344476, -74.1184925)",CASTLETON AVENUE,WEST STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,15:00:00,QUEENS,11385.0,40.7128656,-73.9047713,"(40.7128656, -73.9047713)",METROPOLITAN AVENUE,ELIOT AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,Lost Consciousness,,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/29/2016,15:00:00,BROOKLYN,11224.0,40.5754303,-73.9778689,"(40.5754303, -73.9778689)",WEST 10 STREET,SURF AVENUE,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,BICYCLE,,,
03/29/2016,15:15:00,BROOKLYN,11206.0,40.70012420000001,-73.9471293,"(40.7001242, -73.9471293)",HARRISON AVENUE,FLUSHING AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),,,
03/29/2016,16:50:00,BROOKLYN,11234.0,40.6101876,-73.93934540000002,"(40.6101876, -73.9393454)",MARINE PARKWAY,AVENUE R,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
03/29/2016,17:00:00,BROOKLYN,11221.0,40.69214829999999,-73.91945940000002,"(40.6921483, -73.9194594)",GATES AVE,EVERGREEN AVE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,17:00:00,BROOKLYN,11228.0,40.6231333,-74.0152413,"(40.6231333, -74.0152413)",10 AVENUE,77 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,17:12:00,BROOKLYN,11228.0,40.6105871,-74.0127353,"(40.6105871, -74.0127353)",BENSON AVENUE,BAY 7 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,17:30:00,BROOKLYN,11208.0,40.6604526,-73.867181,"(40.6604526, -73.867181)",FOUNTAIN AVENUE,FLATLANDS AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,19:00:00,QUEENS,11423.0,40.72177410000001,-73.77557990000003,"(40.7217741, -73.7755799)",,,188-45 MCLAUGHLIN AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,21:03:00,STATEN ISLAND,10308.0,40.5507753,-74.15518459999998,"(40.5507753, -74.1551846)",LAMOKA AVENUE,BROOKFIELD AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
03/29/2016,21:30:00,QUEENS,11356.0,40.7801518,-73.84330229999998,"(40.7801518, -73.8433023)",125 STREET,22 AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,,,,
03/29/2016,21:50:00,MANHATTAN,10065.0,40.762106,-73.9601368,"(40.762106, -73.9601368)",EAST 63 STREET,1 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,21:50:00,STATEN ISLAND,10306.0,40.56992320000001,-74.1234497,"(40.5699232, -74.1234497)",AMBOY ROAD,VINCENT AVENUE,,1,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,04:20:00,,,40.7433447,-73.9720193,"(40.7433447, -73.9720193)",34 ST,,,1,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,OTHER,,,
03/29/2016,06:30:00,QUEENS,11379.0,40.71237120000001,-73.892028,"(40.7123712, -73.892028)",,,66-26 METROPOLITAN AVENUE,2,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/29/2016,07:55:00,BRONX,10457.0,40.8524323,-73.898036,"(40.8524323, -73.898036)",,,2095 WEBSTER AVENUE,1,0,1,0,,,Lost Consciousness,,,,,PASSENGER VEHICLE,,,,
03/29/2016,08:00:00,BRONX,10452.0,40.8409303,-73.91269799999998,"(40.8409303, -73.912698)",GRAND CONCOURSE,EAST 172 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/10/2016,01:09:00,BROOKLYN,11206.0,40.70774960000001,-73.9322954,"(40.7077496, -73.9322954)",JOHNSON AVENUE,MORGAN AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,TAXI,SPORT UTILITY / STATION WAGON,,,
03/29/2016,09:33:00,QUEENS,11101.0,40.7526415,-73.93987259999999,"(40.7526415, -73.9398726)",41 AVENUE,24 STRET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
03/29/2016,09:45:00,QUEENS,11362.0,40.7678648,-73.7381752,"(40.7678648, -73.7381752)",NORTHERN BOULEVARD,249 STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,10:00:00,BROOKLYN,11211.0,40.7140668,-73.95162370000001,"(40.7140668, -73.9516237)",UNION AVENUE,METROPOLITAN AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,OTHER,PASSENGER VEHICLE,,,
03/28/2016,10:02:00,BROOKLYN,11217.0,40.6876551,-73.9866694,"(40.6876551, -73.9866694)",,,347 ATLANTIC AVENUE,2,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,11:15:00,BRONX,10460.0,40.84013,-73.88029909999999,"(40.84013, -73.8802991)",BOSTON ROAD,EAST TREMONT AVENUE,,2,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,11:35:00,BROOKLYN,11204.0,40.6222336,-73.9906738,"(40.6222336, -73.9906738)",17 AVENUE,62 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,,,
03/28/2016,11:45:00,MANHATTAN,10034.0,40.8661747,-73.9222205,"(40.8661747, -73.9222205)",,,98 VERMILYEA AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/19/2016,21:35:00,MANHATTAN,10128.0,40.7832615,-73.9507393,"(40.7832615, -73.9507393)",EAST 93 STREET,3 AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
03/28/2016,14:00:00,BRONX,10456.0,40.830988,-73.9113849,"(40.830988, -73.9113849)",CLAY AVENUE,EAST 167 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/28/2016,15:00:00,BROOKLYN,11219.0,40.6325733,-73.99108299999997,"(40.6325733, -73.991083)",14 AVENUE,51 STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/18/2016,10:11:00,BROOKLYN,11239.0,40.644042,-73.87751949999998,"(40.644042, -73.8775195)",PENNSYLVANIA AVENUE,SEAVIEW AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
