DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLISTS INJURED,NUMBER OF CYCLISTS KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/10/2016,16:11:00,BROOKLYN,11208.0,40.66251389999999,-73.8720068,"(40.6625139, -73.8720068)",WORTMAN AVENUE,MONTAUK AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,TAXI,PASSENGER VEHICLE,,,
11/10/2016,05:11:00,MANHATTAN,10013.0,40.7213228,-74.0083444,"(40.7213228, -74.0083444)",HUBERT STREET,HUDSON STREET,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/16/2016,09:15:00,BROOKLYN,11201.0,40.6879989,-73.9975625,"(40.6879989, -73.9975625)",HENRY STREET,WARREN STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,VAN,,,
04/15/2016,10:20:00,QUEENS,11375.0,40.7192276,-73.8545422,"(40.7192276, -73.8545422)",,,67-64 FLEET STREET,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/15/2016,10:35:00,BROOKLYN,11210.0,40.6321467,-73.9527315,"(40.6321467, -73.9527315)",BEDFORD AVENUE,CAMPUS ROAD,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,10:50:00,MANHATTAN,10023.0,40.7793641,-73.9773678,"(40.7793641, -73.9773678)",COLUMBUS AVENUE,WEST 75 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,20:11:00,BRONX,10471.0,40.8975679,-73.8969612,"(40.8975679, -73.8969612)",,,6253      BROADWAY,0,0,0,0,,,Failure to Yield Right-of-Way,Unsafe Speed,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,11:30:00,QUEENS,11434.0,40.6596509,-73.7738282,"(40.6596509, -73.7738282)",ROCKAWAY BOULEVARD,FARMERS BOULEVARD,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,12:00:00,BROOKLYN,11238.0,40.6772855,-73.9625453,"(40.6772855, -73.9625453)",GRAND AVENUE,SAINT MARKS AVENUE,,1,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,MOTORCYCLE,,,,
04/15/2016,12:50:00,QUEENS,11411.0,40.7009644,-73.732433,"(40.7009644, -73.732433)",114 ROAD,225 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,20:11:00,STATEN ISLAND,10312.0,40.5342669,-74.15397349999998,"(40.5342669, -74.1539735)",RICHMOND AVENUE,HYLAN BOULEVARD,,1,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,13:15:00,BROOKLYN,11222.0,40.7272955,-73.9558065,"(40.7272955, -73.9558065)",CALYER STREET,CLIFFORD PLACE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,13:50:00,QUEENS,11356.0,40.7786169,-73.83886109999997,"(40.7786169, -73.8388611)",130 STREET,23 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,14:55:00,BROOKLYN,11206.0,40.6997084,-73.9571664,"(40.6997084, -73.9571664)",WALLABOUT STREET,BEDFORD AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,,,,
04/15/2016,15:00:00,QUEENS,11377.0,40.7574437,-73.9088261,"(40.7574437, -73.9088261)",,,50-06 31 AVENUE,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/15/2016,15:40:00,BRONX,10467.0,40.88744620000001,-73.8780005,"(40.8874462, -73.8780005)",JEROME AVENUE,BAINBRIDGE AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,16:00:00,BRONX,10472.0,40.82765560000001,-73.8860957,"(40.8276556, -73.8860957)",WESTCHESTER AVENUE,WHITLOCK AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,06:11:00,QUEENS,11420.0,40.6803265,-73.82897109999998,"(40.6803265, -73.8289711)",111 STREET,109 AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PICK-UP TRUCK,,,,
04/15/2016,16:03:00,MANHATTAN,10013.0,40.7225499,-74.006299,"(40.7225499, -74.006299)",CANAL STREET,VARICK STREET,,3,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,,,,
04/15/2016,17:00:00,BRONX,10458.0,40.8571285,-73.88079259999998,"(40.8571285, -73.8807926)",EAST FORDHAM ROAD,SOUTHERN BOULEVARD,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,17:00:00,BROOKLYN,11214.0,40.6072584,-74.0026435,"(40.6072584, -74.0026435)",86 STREET,18 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
04/15/2016,17:00:00,QUEENS,11378.0,40.72591970000001,-73.8953397,"(40.7259197, -73.8953397)",GRAND AVENUE,69 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,09:11:00,BRONX,10472.0,40.82691629999999,-73.8720302,"(40.8269163, -73.8720302)",METCALF AVENUE,WATSON AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,,,,,
11/10/2016,09:11:00,BROOKLYN,11214.0,40.6072584,-74.0026435,"(40.6072584, -74.0026435)",18 AVENUE,86 STREET,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,SPORT UTILITY / STATION WAGON,,,,
11/10/2016,09:11:00,BROOKLYN,11229.0,40.5946391,-73.95270040000003,"(40.5946391, -73.9527004)",AVENUE W,EAST 18 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/15/2016,18:10:00,MANHATTAN,10022.0,40.7591654,-73.976743,"(40.7591654, -73.976743)",5 AVENUE,WEST 51 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,OTHER,PASSENGER VEHICLE,,,
04/15/2016,18:25:00,BROOKLYN,11204.0,40.6151303,-73.99422259999999,"(40.6151303, -73.9942226)",72 STREET,18 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/07/2016,15:27:00,BRONX,10460.0,40.8367349,-73.8858308,"(40.8367349, -73.8858308)",,,961 EAST 174 STREET,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,20:15:00,BROOKLYN,11225.0,40.6631828,-73.96244870000002,"(40.6631828, -73.9624487)",EMPIRE BOULEVARD,FLATBUSH AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
03/13/2016,19:24:00,QUEENS,11413.0,40.6825066,-73.7399958,"(40.6825066, -73.7399958)",130 AVENUE,227 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/13/2016,19:35:00,QUEENS,11354.0,40.7631605,-73.8163873,"(40.7631605, -73.8163873)",149 STREET,ROOSEVELT AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,SPORT UTILITY / STATION WAGON,,,,
04/15/2016,21:00:00,QUEENS,11365.0,40.7467748,-73.7924146,"(40.7467748, -73.7924146)",UTOPIA PARKWAY,UNDERHILL AVENUE,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,21:07:00,QUEENS,11364.0,40.755658,-73.76716390000001,"(40.755658, -73.7671639)",48 AVENUE,BELL BOULEVARD,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,21:47:00,BROOKLYN,11217.0,40.6848568,-73.9780417,"(40.6848568, -73.9780417)",FLATBUSH AVENUE,4 AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,22:12:00,QUEENS,11377.0,40.7348498,-73.9000093,"(40.7348498, -73.9000093)",65 PLACE,MAURICE AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/09/2016,11:11:00,BROOKLYN,11214.0,40.5951044,-74.00090379999997,"(40.5951044, -74.0009038)",,,8973      BAY PARKWAY,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,02:50:00,BROOKLYN,11225.0,40.6616893,-73.96142950000002,"(40.6616893, -73.9614295)",FLATBUSH AVENUE,LEFFERTS AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,03:52:00,BRONX,10466.0,40.89285220000001,-73.85566329999997,"(40.8928522, -73.8556633)",EAST 233 STREET,BYRON AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,OTHER,,,,
04/15/2016,05:50:00,QUEENS,11368.0,40.742096,-73.86747290000002,"(40.742096, -73.8674729)",CORONA AVENUE,JUNCTION BOULEVARD,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
11/09/2016,15:11:00,QUEENS,11354.0,40.7574508,-73.83405390000001,"(40.7574508, -73.8340539)",,,40-24     COLLEGE POINT BOULEVARD,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,,,,
04/15/2016,07:00:00,BRONX,10452.0,40.84517750000001,-73.9141598,"(40.8451775, -73.9141598)",JEROME AVENUE,CROSS BRONX EXPRESSWAY,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,,,,
04/15/2016,07:45:00,BRONX,10463.0,40.8795157,-73.9096784,"(40.8795157, -73.9096784)",TIBBETT AVENUE,WEST 230 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,07:58:00,MANHATTAN,10001.0,40.7447605,-73.9951533,"(40.7447605, -73.9951533)",7 AVENUE,WEST 24 STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,08:00:00,BROOKLYN,11229.0,40.6044444,-73.94847270000002,"(40.6044444, -73.9484727)",AVENUE S,EAST 24 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/15/2016,08:30:00,MANHATTAN,10022.0,40.7583082,-73.9629257,"(40.7583082, -73.9629257)",EAST 57 STREET,1 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/15/2016,08:45:00,MANHATTAN,10016.0,40.7513709,-73.97988570000003,"(40.7513709, -73.9798857)",,,30 EAST 40 STREET,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,,,,,
11/09/2016,16:11:00,,,40.733379600000006,-73.8666495,"(40.7333796, -73.8666495)",,,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/15/2016,09:00:00,QUEENS,11365.0,40.7304548,-73.805166,"(40.7304548, -73.805166)",164 STREET,71 AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/14/2016,10:41:00,QUEENS,11378.0,40.72538770000001,-73.9088266,"(40.7253877, -73.9088266)",59 STREET,56 AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/09/2016,17:11:00,MANHATTAN,10032.0,40.8401945,-73.9430642,"(40.8401945, -73.9430642)",WEST 165 STREET,FORT WASHINGTON AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,PASSENGER VEHICLE,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
04/14/2016,11:45:00,QUEENS,11354.0,40.7604644,-73.8265417,"(40.7604644, -73.8265417)",ROOSEVELT AVENUE,UNION STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,12:00:00,BROOKLYN,11238.0,40.6776646,-73.9558646,"(40.6776646, -73.9558646)",,,1035 DEAN STREET,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/09/2016,18:11:00,BROOKLYN,11207.0,40.6632221,-73.8936503,"(40.6632221, -73.8936503)",PENNSYLVANIA AVENUE,RIVERDALE AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/09/2016,18:11:00,QUEENS,11358.0,40.75387050000001,-73.79732659999998,"(40.7538705, -73.7973266)",46 AVENUE,170 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/14/2016,14:00:00,MANHATTAN,10011.0,40.74164520000001,-74.00486090000003,"(40.7416452, -74.0048609)",WEST 15 STREET,9 AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,,,,
04/14/2016,14:05:00,STATEN ISLAND,10305.0,40.6204307,-74.0709552,"(40.6204307, -74.0709552)",EDGEWATER STREET,BAY STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,14:30:00,QUEENS,11375.0,40.7157398,-73.83672609999998,"(40.7157398, -73.8367261)",AUSTIN STREET,76 ROAD,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/14/2016,14:30:00,QUEENS,11434.0,40.6596509,-73.7738282,"(40.6596509, -73.7738282)",FARMERS BOULEVARD,ROCKAWAY BOULEVARD,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,15:00:00,BROOKLYN,11204.0,40.6189755,-73.99035,"(40.6189755, -73.99035)",,,6516 18 AVENUE,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/09/2016,18:11:00,BROOKLYN,11206.0,40.7015443,-73.93836429999998,"(40.7015443, -73.9383643)",FLUSHING AVENUE,GARDEN STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Driver Inattention/Distraction,,,,BICYCLE,BICYCLE,,,
11/09/2016,18:11:00,BROOKLYN,11234.0,40.6287705,-73.9182425,"(40.6287705, -73.9182425)",RALPH AVENUE,AVENUE J,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,SPORT UTILITY / STATION WAGON,,,,
11/09/2016,18:11:00,QUEENS,11435.0,40.7088729,-73.8187046,"(40.7088729, -73.8187046)",QUEENS BOULEVARD,84 DRIVE,,1,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
04/14/2016,15:00:00,MANHATTAN,10016.0,40.745004,-73.9861635,"(40.745004, -73.9861635)",,,10 EAST 29 STREET,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,15:10:00,,,40.8246654,-73.8707949,"(40.8246654, -73.8707949)",METCALF AVENUE,,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,VAN,,,
04/14/2016,15:50:00,BROOKLYN,11214.0,40.608746,-74.0034863,"(40.608746, -74.0034863)",BAY 16 STREET,85 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,15:50:00,BROOKLYN,11249.0,40.718415500000006,-73.9616204,"(40.7184155, -73.9616204)",WYTHE AVE,NORTH 5 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,BICYCLE,,,
11/07/2016,09:11:00,BROOKLYN,11233.0,40.6772496,-73.92753859999998,"(40.6772496, -73.9275386)",ATLANTIC AVENUE,ROCHESTER AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/14/2016,16:20:00,BROOKLYN,11207.0,40.6653448,-73.9008524,"(40.6653448, -73.9008524)",VAN SINDEREN AVENUE,DUMONT AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,16:25:00,MANHATTAN,10002.0,40.71406870000001,-73.99750379999998,"(40.7140687, -73.9975038)",DIVISION STREET,BOWERY,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,17:02:00,QUEENS,11416.0,40.6881494,-73.8488335,"(40.6881494, -73.8488335)",WOODHAVEN BOULEVARD,ATLANTIC AVENUE,,2,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,17:34:00,STATEN ISLAND,10304.0,40.6292849,-74.0838801,"(40.6292849, -74.0838801)",OCCIDENT AVENUE,MARION AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,17:40:00,MANHATTAN,10034.0,40.8625298,-73.91831309999998,"(40.8625298, -73.9183131)",,,403 WEST 205 STREET,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,18:04:00,BROOKLYN,11249.0,40.7168461,-73.96332029999998,"(40.7168461, -73.9633203)",,,268 WYTHE AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,19:10:00,STATEN ISLAND,10312.0,40.53989779999999,-74.1610238,"(40.5398978, -74.1610238)",RICHMOND AVE,SYCAMORE STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,19:15:00,QUEENS,11375.0,40.7182128,-73.8367417,"(40.7182128, -73.8367417)",QUEENS BOULEVARD,75 ROAD,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/09/2016,06:11:00,BRONX,10474.0,40.8120773,-73.8868051,"(40.8120773, -73.8868051)",COSTER STREET,RANDALL AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,TAXI,,,,
11/09/2016,06:11:00,BROOKLYN,11234.0,40.6250313,-73.92948299999998,"(40.6250313, -73.929483)",FLATLANDS AVENUE,EAST 48 STREET,,1,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2016,19:20:00,MANHATTAN,10011.0,40.7428639,-74.0039696,"(40.7428639, -74.0039696)",9 AVENUE,WEST 17 STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,,,,
04/14/2016,21:40:00,,,40.7384947,-73.9027329,"(40.7384947, -73.9027329)",,,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,OTHER,,,
04/14/2016,21:40:00,MANHATTAN,10013.0,40.7171234,-74.00795790000002,"(40.7171234, -74.0079579)",WEST BROADWAY,THOMAS STREET,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
11/05/2016,12:11:00,BROOKLYN,11207.0,40.6757357,-73.89685329999998,"(40.6757357, -73.8968533)",PENNSYLVANIA AVENUE,ATLANTIC AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Unspecified,,,,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
04/14/2016,06:35:00,BROOKLYN,11225.0,40.6631828,-73.96244870000002,"(40.6631828, -73.9624487)",FLATBUSH AVENUE,EMPIRE BOULEVARD,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,OTHER,,,
04/14/2016,06:50:00,QUEENS,11416.0,40.6859236,-73.84691670000002,"(40.6859236, -73.8469167)",WOODHAVEN BOULEVARD,97 AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,,,,
04/14/2016,07:00:00,QUEENS,11357.0,40.7819506,-73.8044593,"(40.7819506, -73.8044593)",,,157-36 18 AVENUE,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,07:05:00,QUEENS,11106.0,40.7581273,-73.92850109999998,"(40.7581273, -73.9285011)",35 AVENUE,31 STREET,,1,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,,,,
04/14/2016,07:26:00,,,40.6076884,-74.13891640000001,"(40.6076884, -74.1389164)",WOOLLEY AVENUE,,,2,0,0,0,,,Lost Consciousness,Lost Consciousness,Lost Consciousness,,,MOTORCYCLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
04/14/2016,08:00:00,QUEENS,11361.0,40.7569079,-73.7676685,"(40.7569079, -73.7676685)",47 AVENUE,BELL BOULEVARD,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,08:10:00,BRONX,10451.0,40.825456,-73.9131663,"(40.825456, -73.9131663)",EAST 163 STREET,MELROSE AVENUE,,1,0,1,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/14/2016,08:30:00,QUEENS,11413.0,40.677928,-73.7548493,"(40.677928, -73.7548493)",SPRINGFIELD BOULEVARD,136 AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,08:40:00,QUEENS,11362.0,40.7687955,-73.73707399999998,"(40.7687955, -73.737074)",NORTHERN BOULEVARD,251 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,08:40:00,,,40.6665019,-73.9961894,"(40.6665019, -73.9961894)",PROSPECT EXPRESSWAY,,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),,,
04/14/2016,08:50:00,QUEENS,11372.0,40.7476308,-73.88393719999998,"(40.7476308, -73.8839372)",ROOSEVELT AVENUE,82 STREET,,0,0,0,0,,,Failure to Yield Right-of-Way,,,,,PASSENGER VEHICLE,,,,
04/14/2016,09:01:00,BROOKLYN,11213.0,40.6656874,-73.93975999999998,"(40.6656874, -73.93976)",CROWN STREET,ALBANY AVENUE,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,OTHER,,,
04/14/2016,09:15:00,QUEENS,11422.0,40.6656299,-73.7392073,"(40.6656299, -73.7392073)",BROOKVILLE BOULEVARD,SUNRISE HIGHWAY,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/14/2016,09:50:00,MANHATTAN,10035.0,40.8040657,-73.93266340000002,"(40.8040657, -73.9326634)",2 AV,E 127 ST,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/13/2016,00:30:00,QUEENS,11418.0,40.6898733,-73.84281130000002,"(40.6898733, -73.8428113)",102 STREET,ATLANTIC AVENUE,,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/13/2016,10:00:00,MANHATTAN,10007.0,40.7130009,-74.0041807,"(40.7130009, -74.0041807)",,,1 CENTRE STREET,0,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/13/2016,10:15:00,MANHATTAN,10031.0,40.8314708,-73.9467684,"(40.8314708, -73.9467684)",BROADWAY,WEST 153 STREET,,0,0,0,0,,,Lost Consciousness,Lost Consciousness,,,,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
04/13/2016,10:20:00,BROOKLYN,11201.0,40.6898305,-73.97862420000001,"(40.6898305, -73.9786242)",DE KALB AVENUE,ASHLAND PLACE,,1,0,0,0,,,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,,,,PASSENGER VEHICLE,BICYCLE,,,
