id,host_id,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
9207721,47656299,Entire home/apt,45,2,7,01/10/2018,0.22,1,4
9211815,47906307,Private room,43,3,33,15/10/2018,1.41,1,0
9228958,47979672,Private room,39,2,162,03/04/2019,3.91,1,6
9229926,7843388,Entire home/apt,29,32,5,01/12/2018,0.15,45,210
9230206,47964103,Entire home/apt,46,2,131,24/03/2019,3.43,2,250
9231823,35734146,Entire home/apt,27,2,173,25/03/2019,4.35,4,283
9233339,47995316,Private room,65,3,106,04/04/2019,2.56,1,221
9246065,32727836,Entire home/apt,15,1,38,08/04/2019,0.93,12,300
9246131,45887202,Entire home/apt,72,3,2,17/03/2019,2,8,170
9250389,47646128,Entire home/apt,90,3,91,30/03/2019,2.81,2,297
9251356,46696994,Entire home/apt,247,4,157,01/04/2019,3.8,5,218
9264620,45887202,Private room,135,3,1,08/05/2016,0.03,8,200
9266961,7329479,Entire home/apt,89,3,1,26/02/2016,0.03,1,0
9270758,17751441,Entire home/apt,149,4,27,01/04/2019,0.9,8,170
9275394,7501230,Private room,55,2,100,26/10/2018,2.92,1,298
9278225,48183618,Private room,49,32,10,15/12/2018,0.28,1,229
9287065,39328627,Private room,350,1,67,14/03/2019,1.99,51,213
9289648,36607755,Private room,31,32,1,15/08/2016,0.03,77,285
9292045,27515602,Entire home/apt,109,3,84,20/03/2019,2.09,5,199
9293584,1838761,Entire home/apt,129,31,32,01/03/2019,0.91,9,226
9306147,48309752,Entire home/apt,65,3,178,23/03/2019,4.42,1,296
9306883,4396136,Entire home/apt,45,32,44,21/10/2018,1.07,5,206
9309091,1447144,Entire home/apt,80,3,13,01/03/2019,0.34,74,327
9310005,48131122,Private room,156,3,11,14/10/2018,0.29,2,0
9312803,1447144,Entire home/apt,95,1,23,24/03/2019,0.6,74,355
9313510,1447144,Entire home/apt,90,1,18,03/03/2019,0.48,74,340
9330328,4860533,Entire home/apt,120,3,128,08/04/2019,3.34,2,88
9330775,4860533,Entire home/apt,120,3,155,31/03/2019,3.99,2,49
9336659,20856431,Private room,35,2,5,18/03/2019,0.19,1,70
9342964,2320210,Entire home/apt,127,3,6,24/03/2019,0.22,48,139
9345989,48504009,Entire home/apt,85,3,67,08/04/2019,1.69,1,137
9354588,7998364,Entire home/apt,51,3,46,30/03/2019,2.22,1,214
9357521,8130906,Entire home/apt,315,3,46,06/04/2019,1.25,42,236
9358770,48564603,Private room,49,4,30,11/03/2019,0.78,1,157
9371759,48624935,Private room,90,2,131,25/03/2019,3.65,2,24
9372389,48624935,Private room,87,2,157,25/03/2019,3.94,2,107
9377811,47171261,Private room,110,3,16,31/03/2019,0.66,52,314
9378134,48131122,Entire home/apt,48,3,42,17/02/2019,1.08,2,0
9378397,47171261,Private room,122,3,17,07/04/2019,0.48,52,295
9380814,9478280,Private room,147,3,17,17/06/2017,0.45,30,297
9380878,9478280,Entire home/apt,170,3,14,25/02/2019,0.41,30,269
9381010,27573426,Private room,48,31,5,15/03/2019,0.13,21,89
9385939,6538059,Entire home/apt,70,4,33,25/09/2017,0.83,2,170
9396185,48734818,Entire home/apt,22,31,28,22/06/2018,0.89,2,222
9405335,9465190,Entire home/apt,40,1,48,03/02/2019,1.18,1,9
9408014,16304389,Private room,85,1,9,13/08/2017,0.23,1,143
9412798,1447144,Entire home/apt,456,1,3,18/11/2018,0.1,74,354
9418847,47171261,Private room,99,3,13,21/12/2018,0.36,52,313
9419502,47171261,Private room,99,3,3,27/02/2019,0.09,52,313
9420262,47171261,Private room,99,2,14,27/03/2019,0.4,52,313
9420879,47171261,Entire home/apt,129,3,4,09/09/2017,0.12,52,313
9421482,47171261,Entire home/apt,99,3,15,17/03/2019,0.39,52,313
9422043,47171261,Private room,129,2,30,08/04/2019,0.86,52,313
9422452,47171261,Entire home/apt,99,2,51,07/04/2019,1.42,52,313
9422829,47171261,Private room,80,2,50,06/04/2019,1.34,52,313
