id,host_id,neighbourhood_group,neighbourhood,latitude,longitude
5810618,28696293,Sant Martí,el Poblenou,41.40251,2.20172
5813060,30161927,Eixample,el Fort Pienc,41.39669,2.18285
5818871,27778700,Eixample,la Dreta de l'Eixample,41.39252,2.1739
5834787,7384171,Ciutat Vella,el Barri Gòtic,41.38499,2.1731
5835046,28396584,Sants-Montjuïc,el Poble Sec,41.37245,2.17122
5837003,6227060,Eixample,la Dreta de l'Eixample,41.39585,2.16719
5837152,30298913,Sants-Montjuïc,el Poble Sec,41.37175,2.15688
5842289,30333067,Ciutat Vella,el Raval,41.38356,2.16481
5842366,299462,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39563,2.1502
5843257,30337227,Ciutat Vella,el Raval,41.38098,2.16694
5843294,29153757,Eixample,l'Antiga Esquerra de l'Eixample,41.39081,2.15531
5845579,30298913,Sants-Montjuïc,el Poble Sec,41.37144,2.15762
5846369,29890774,Eixample,la Dreta de l'Eixample,41.39032,2.17385
5854424,28289444,Sant Martí,el Besòs i el Maresme,41.41233,2.21661
5854774,28289444,Sant Martí,el Besòs i el Maresme,41.41234,2.21669
5854832,28289444,Sant Martí,el Besòs i el Maresme,41.41174,2.21478
5854961,28289444,Sant Martí,el Besòs i el Maresme,41.41291,2.21744
5856211,17532317,Eixample,la Dreta de l'Eixample,41.39582,2.17445
5858602,4006184,Eixample,la Dreta de l'Eixample,41.39554,2.1763
5859026,30420293,Sant Martí,el Clot,41.41095,2.19064
5859204,4640690,Eixample,la Dreta de l'Eixample,41.39821,2.17094
5867314,9667715,Eixample,la Sagrada Família,41.40152,2.17289
5869174,28289444,Sant Martí,el Besòs i el Maresme,41.41178,2.21665
5871859,880785,Ciutat Vella,el Barri Gòtic,41.38583,2.17468
5891589,30188564,Sants-Montjuïc,el Poble Sec,41.37392,2.16777
5907982,17435395,Eixample,Sant Antoni,41.3774,2.1529
5908217,30686322,Sant Martí,el Besòs i el Maresme,41.41341,2.21642
5908996,4167006,Ciutat Vella,el Raval,41.3818,2.16681
5909533,2108468,Ciutat Vella,el Barri Gòtic,41.37877,2.17624
5910820,30698736,Ciutat Vella,el Raval,41.37509,2.17116
5911557,7524074,Gràcia,la Vila de Gràcia,41.40125,2.15669
5911844,2108468,Ciutat Vella,el Barri Gòtic,41.38126,2.1751
5916897,22801070,Gràcia,la Vila de Gràcia,41.39975,2.15322
5921867,28903973,Eixample,la Sagrada Família,41.40605,2.18035
5924404,30576833,Sants-Montjuïc,el Poble Sec,41.37397,2.17368
5926864,4128468,Ciutat Vella,el Barri Gòtic,41.37872,2.17667
5927726,2553762,Sants-Montjuïc,el Poble Sec,41.37281,2.16065
5930855,21493913,Eixample,la Dreta de l'Eixample,41.39916,2.16946
5931622,30798114,Eixample,la Sagrada Família,41.40726,2.17824
5936130,30337227,Ciutat Vella,el Raval,41.37773,2.17126
5936979,1405013,Eixample,la Dreta de l'Eixample,41.39371,2.17146
5938638,23597214,Eixample,la Dreta de l'Eixample,41.39353,2.16874
5944753,4855882,Eixample,l'Antiga Esquerra de l'Eixample,41.38894,2.16148
